Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Younès Kaboul,DF,31,1986,2,2,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Elias Kachunga,"FW,MF",25,1992,19,17,1329,14.8,1,1,2,1,0,0,1,0,1.9,1.9,0.6,2.6,32,24,95,0.07,0.07,0.14,0.07,0.14,0.13,0.04,0.17,0.13,0.17
Sullay Kaikai,MF,21,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harry Kane,FW,24,1993,37,35,3076,34.2,30,2,32,28,2,3,5,0,24.8,22.4,2.7,25.1,58,94,261,0.88,0.06,0.94,0.82,0.88,0.72,0.08,0.80,0.66,0.73
N'Golo Kanté,MF,26,1991,34,34,2994,33.3,1,1,2,1,0,0,3,0,0.8,0.8,2.9,3.6,88,274,45,0.03,0.03,0.06,0.03,0.06,0.02,0.09,0.11,0.02,0.11
Loris Karius,GK,24,1993,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Orestis Karnezis,GK,32,1985,15,14,1292,14.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Beram Kayal,MF,29,1988,19,8,745,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,4,27,13,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
Michael Keane,DF,24,1993,30,29,2560,28.4,0,1,1,0,0,0,3,0,1.1,1.1,0.5,1.6,11,83,3,0.00,0.04,0.04,0.00,0.04,0.04,0.02,0.06,0.04,0.06
Martin Kelly,DF,27,1990,15,12,1195,13.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.6,5,16,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Kenedy,"MF,DF",21,1996,13,13,1023,11.4,2,2,4,2,0,0,1,0,2.4,2.4,1.7,4.2,30,21,55,0.18,0.18,0.35,0.18,0.35,0.21,0.15,0.37,0.21,0.37
Jonjoe Kenny,DF,20,1997,19,17,1590,17.7,0,1,1,0,0,0,2,0,0.1,0.1,1.5,1.6,16,48,51,0.00,0.06,0.06,0.00,0.06,0.01,0.08,0.09,0.01,0.09
Andy King,MF,28,1988,11,5,537,6.0,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,3,13,6,0.17,0.00,0.17,0.17,0.17,0.09,0.02,0.10,0.09,0.10
Andy King,MF,28,1988,11,9,715,7.9,2,1,3,2,0,0,1,0,1.0,1.0,0.2,1.2,5,38,5,0.25,0.13,0.38,0.25,0.38,0.12,0.03,0.15,0.12,0.15
Joshua King,"FW,MF",25,1992,33,27,2453,27.3,8,3,11,6,2,2,3,0,6.5,4.9,4.9,9.8,84,83,215,0.29,0.11,0.40,0.22,0.33,0.24,0.18,0.42,0.18,0.36
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
