Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Timothy Weah,"DF,FW",24,2000,30,18,1638,18.2,5,2,7,5,0,0,4,0,3.4,3.4,1.6,5.1,45,56,120,0.27,0.11,0.38,0.27,0.38,0.19,0.09,0.28,0.19,0.28
Mateusz Wieteska,DF,27,1997,5,1,184,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,5,0,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.18,0.10,0.18
John Yeboah,"FW,MF",24,2000,33,11,1226,13.6,1,1,2,1,0,0,6,0,3.0,3.0,1.9,4.9,50,42,88,0.07,0.07,0.15,0.07,0.15,0.22,0.14,0.36,0.22,0.36
Kenan Yıldız,"FW,MF",19,2005,35,28,2402,26.7,7,4,11,7,0,0,2,1,4.3,4.3,5.0,9.3,115,121,223,0.26,0.15,0.41,0.26,0.41,0.16,0.19,0.35,0.16,0.35
Mattia Zaccagni,FW,29,1995,34,33,2686,29.8,8,6,14,6,2,2,10,0,6.4,4.9,4.6,9.5,91,114,264,0.27,0.20,0.47,0.20,0.40,0.22,0.15,0.37,0.16,0.32
Nicola Zalewski,"DF,FW",22,2002,12,4,533,5.9,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,31,17,54,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18
Nicola Zalewski,"DF,MF",22,2002,11,4,435,4.8,1,1,2,1,0,0,4,0,0.2,0.2,1.7,1.9,29,18,47,0.21,0.21,0.41,0.21,0.41,0.05,0.35,0.39,0.05,0.39
Andre-Frank Zambo Anguissa,MF,28,1995,35,32,2852,31.7,6,4,10,6,0,0,5,0,4.4,4.4,2.4,6.8,24,144,119,0.19,0.13,0.32,0.19,0.32,0.14,0.08,0.22,0.14,0.22
Francesco Zampano,DF,30,1993,24,17,1639,18.2,1,2,3,1,0,0,5,0,1.0,1.0,0.8,1.8,42,41,85,0.05,0.11,0.16,0.05,0.16,0.05,0.04,0.10,0.05,0.10
Nicolò Zaniolo,FW,25,1999,9,4,343,3.8,0,0,0,0,0,0,2,1,0.7,0.6,0.2,0.9,8,5,20,0.00,0.00,0.00,0.00,0.00,0.16,0.06,0.22,0.15,0.21
