Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Adil Aouchiche,"FW,MF",22,2002,8,3,296,3.3,0,1,1,0,0,0,0,0,0.5,0.5,1.6,2.1,13,14,56,0.00,0.30,0.30,0.00,0.30,0.15,0.48,0.63,0.15,0.63
Oliver Arblaster,MF,20,2004,12,11,978,10.9,2,1,3,2,0,0,3,0,0.7,0.7,1.3,2.0,14,84,19,0.18,0.09,0.28,0.18,0.28,0.07,0.12,0.19,0.07,0.19
Jordan Archer,GK,31,1993,2,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adam Armstrong,FW,27,1997,16,12,1008,11.2,3,0,3,2,1,1,0,0,3.8,3.0,0.4,3.4,14,11,46,0.27,0.00,0.27,0.18,0.18,0.34,0.04,0.37,0.27,0.30
Harrison Armstrong,MF,17,2007,15,12,1105,12.3,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.7,10,39,12,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05
Sinclair Armstrong,FW,21,2003,36,17,1555,17.3,3,0,3,3,0,0,1,0,5.1,5.1,0.8,6.0,33,16,121,0.17,0.00,0.17,0.17,0.17,0.30,0.05,0.35,0.30,0.35
Stuart Armstrong,"MF,FW",32,1992,11,6,536,6.0,0,1,1,0,0,0,0,0,1.1,1.1,1.0,2.1,14,25,31,0.00,0.17,0.17,0.00,0.17,0.19,0.17,0.36,0.19,0.36
Harrison Ashby,"DF,FW",22,2001,29,17,1583,17.6,0,1,1,0,0,0,6,0,1.4,1.4,1.1,2.5,19,38,45,0.00,0.06,0.06,0.00,0.06,0.08,0.06,0.14,0.08,0.14
Cian Ashford,"FW,MF",19,2004,28,17,1522,16.9,2,3,5,2,0,0,0,0,1.6,1.6,2.8,4.4,41,35,96,0.12,0.18,0.30,0.12,0.30,0.10,0.17,0.26,0.10,0.26
Robert Atkinson,DF,26,1998,14,13,1098,12.2,2,1,3,2,0,0,4,0,0.5,0.5,1.0,1.6,9,39,1,0.16,0.08,0.25,0.16,0.25,0.05,0.08,0.13,0.05,0.13
Luke Ayling,DF,32,1991,26,23,1951,21.7,0,2,2,0,0,0,4,0,0.7,0.7,2.5,3.2,34,143,65,0.00,0.09,0.09,0.00,0.09,0.03,0.12,0.15,0.03,0.15
Finn Azaz,"MF,FW",23,2000,45,43,3544,39.4,12,11,23,12,0,0,6,0,9.5,9.5,9.7,19.2,94,236,290,0.30,0.28,0.58,0.30,0.58,0.24,0.25,0.49,0.24,0.49
Femi Azeez,FW,23,2001,34,21,1906,21.2,2,5,7,2,0,0,4,0,4.8,4.8,2.2,6.9,81,61,161,0.09,0.24,0.33,0.09,0.33,0.23,0.10,0.33,0.23,0.33
Kwadwo Baah,"MF,FW",21,2003,27,16,1459,16.2,4,3,7,4,0,0,5,1,3.2,3.2,2.9,6.1,80,17,105,0.25,0.19,0.43,0.25,0.43,0.20,0.18,0.38,0.20,0.38
Daniel Bachmann,GK,30,1994,22,22,1902,21.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
