Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Logan Delaurier Chaubet,fr FRA,FW,Almere City,22,2002,12,6,556,6.2,1,0,1,1,0,0,1,0,0.9,0.9,1.0,2.0,10,13,32,0.16,0.00,0.16,0.16,0.16,0.15,0.17,0.32,0.15,0.32
Branco van den Boomen,nl NED,MF,Ajax,29,1995,12,7,631,7.0,0,0,0,0,0,1,0,0,1.4,0.6,1.5,2.1,7,68,13,0.00,0.00,0.00,0.00,0.00,0.20,0.21,0.41,0.08,0.30
Damian van der Haar,nl NED,DF,Zwolle,20,2004,29,22,1833,20.4,2,2,4,2,0,0,1,0,1.0,1.0,3.0,4.0,17,52,82,0.10,0.10,0.20,0.10,0.20,0.05,0.15,0.20,0.05,0.20
Mickey van der Hart,nl NED,GK,Heerenveen,30,1994,19,18,1695,18.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mike van der Hoorn,nl NED,DF,Utrecht,31,1992,31,30,2554,28.4,3,2,5,3,0,0,6,0,2.7,2.7,1.5,4.2,18,126,13,0.11,0.07,0.18,0.11,0.18,0.09,0.05,0.15,0.09,0.15
Djevencio van der Kust,sr SUR,DF,Sparta R'dam,23,2001,13,10,923,10.3,0,0,0,0,0,0,3,1,0.1,0.1,0.3,0.4,11,27,55,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Richard van der Venne,nl NED,"MF,FW",RKC Waalwijk,32,1992,17,8,734,8.2,4,1,5,4,0,0,3,0,2.1,2.1,1.8,3.9,9,31,31,0.49,0.12,0.61,0.49,0.61,0.26,0.22,0.48,0.26,0.48
Silvester van der Water,nl NED,"FW,MF",RKC Waalwijk,27,1996,17,9,626,7.0,3,0,3,3,0,0,0,0,1.5,1.5,0.1,1.5,13,13,39,0.43,0.00,0.43,0.43,0.43,0.21,0.01,0.22,0.21,0.22
David van der Werff,nl NED,MF,Groningen,19,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,0,5,0.00,0.00,0.00,0.00,0.00,0.91,0.24,1.16,0.91,1.16
Anthony Descotte,be BEL,"FW,MF",Utrecht,20,2003,9,5,398,4.4,2,0,2,1,1,1,0,0,1.8,1.0,0.6,1.6,5,9,20,0.45,0.00,0.45,0.23,0.23,0.41,0.13,0.55,0.24,0.37
Sergiño Dest,us USA,DF,PSV Eindhoven,23,2000,7,4,376,4.2,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,15,29,18,0.00,0.24,0.24,0.00,0.24,0.06,0.21,0.27,0.06,0.27
Matisse Didden,be BEL,DF,Utrecht,22,2001,16,4,518,5.8,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,0,15,0,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10
Thomas Didillon,fr FRA,GK,Willem II,28,1995,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mitchell Dijks,nl NED,DF,Fortuna Sittard,31,1993,25,20,1694,18.8,0,3,3,0,0,0,3,1,0.1,0.1,1.1,1.2,38,64,47,0.00,0.16,0.16,0.00,0.16,0.01,0.06,0.06,0.01,0.06
Elijah Dijkstra,nl NED,DF,AZ Alkmaar,17,2006,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Julius Dirksen,nl NED,"DF,MF",Go Ahead Eag,21,2003,6,0,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,6,0,0.00,0.00,0.00,0.00,0.00,0.10,0.22,0.32,0.10,0.32
Nick Doodeman,nl NED,"FW,MF",Willem II,27,1996,26,20,1453,16.1,0,3,3,0,0,0,0,0,0.3,0.3,3.1,3.4,28,28,103,0.00,0.19,0.19,0.00,0.19,0.02,0.19,0.21,0.02,0.21
Couhaib Driouech,ma MAR,FW,PSV Eindhoven,22,2002,15,0,273,3.0,2,1,3,2,0,0,0,0,1.0,1.0,0.6,1.6,32,9,69,0.66,0.33,0.99,0.66,0.99,0.34,0.20,0.54,0.34,0.54
Joel Drommel,nl NED,GK,PSV Eindhoven,27,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Laros Duarte,cv CPV,MF,Groningen,27,1997,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.07,0.54,0.61,0.07,0.61
Oliver Edvardsen,no NOR,FW,Ajax,25,1999,11,1,290,3.2,4,0,4,4,0,0,1,0,2.4,2.4,0.5,2.8,7,15,31,1.24,0.00,1.24,1.24,1.24,0.74,0.14,0.88,0.74,0.88
Oliver Edvardsen,no NOR,"FW,MF",Go Ahead Eag,25,1999,14,10,888,9.9,8,3,11,8,0,0,1,0,6.1,6.1,1.4,7.5,24,28,56,0.81,0.30,1.11,0.81,1.11,0.62,0.14,0.76,0.62,0.76
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Victor Edvardsen,se SWE,"FW,MF",Go Ahead Eag,28,1996,34,32,2740,30.4,8,6,14,8,0,0,4,0,10.4,10.4,6.7,17.1,51,93,204,0.26,0.20,0.46,0.26,0.46,0.34,0.22,0.56,0.34,0.56
Espen van Ee,nl NED,MF,Heerenveen,21,2003,32,24,2236,24.8,1,2,3,1,0,0,5,0,1.4,1.4,1.1,2.5,25,104,47,0.04,0.08,0.12,0.04,0.12,0.06,0.05,0.10,0.06,0.10
Mike Eerdhuijzen,nl NED,DF,Sparta R'dam,24,2000,32,32,2803,31.1,1,0,1,1,0,0,7,1,0.9,0.9,0.5,1.5,31,194,10,0.03,0.00,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05
Roshon van Eijma,cw CUW,DF,RKC Waalwijk,26,1998,24,22,1818,20.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,10,46,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
Carel Eiting,nl NED,MF,Sparta R'dam,26,1998,12,11,882,9.8,1,3,4,1,0,0,0,0,1.0,1.0,2.0,3.0,11,43,25,0.10,0.31,0.41,0.10,0.41,0.10,0.20,0.30,0.10,0.30
Carel Eiting,nl NED,MF,Twente,26,1998,16,6,589,6.5,2,0,2,2,0,0,2,0,1.2,1.2,2.3,3.5,18,52,21,0.31,0.00,0.31,0.31,0.31,0.19,0.35,0.53,0.19,0.53
Hjalmar Ekdal,se SWE,DF,Groningen,25,1998,14,14,1240,13.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,11,38,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
Úmaro Embaló,pt POR,FW,Fortuna Sittard,23,2001,2,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52
Noam Emeran,fr FRA,"DF,MF",Groningen,21,2002,4,0,87,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,3,7,1.03,0.00,1.03,1.03,1.03,0.06,0.00,0.06,0.06,0.06
Mario Engels,de GER,"FW,MF",Heracles Almelo,30,1993,31,23,2170,24.1,4,4,8,4,0,0,2,0,5.3,5.3,3.7,9.1,64,44,145,0.17,0.17,0.33,0.17,0.33,0.22,0.16,0.38,0.22,0.38
Alonzo Engwanda,be BEL,MF,Utrecht,21,2003,21,15,1270,14.1,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,6,46,13,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Ante Erceg,hr CRO,"FW,MF",Fortuna Sittard,34,1989,14,2,287,3.2,0,0,0,0,0,0,3,0,1.2,1.2,0.0,1.2,1,3,12,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38
Luca Everink,nl NED,DF,Go Ahead Eag,23,2001,4,1,112,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Juan Familia-Castillo,do DOM,"DF,FW",RKC Waalwijk,24,2000,24,18,1535,17.1,0,3,3,0,0,0,2,0,0.1,0.1,2.4,2.5,48,65,77,0.00,0.18,0.18,0.00,0.18,0.01,0.14,0.15,0.01,0.15
Kevin Felida,cw CUW,"MF,FW",RKC Waalwijk,24,1999,9,5,428,4.8,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,17,24,16,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15
Saná Fernandes,pt POR,"FW,MF",NAC Breda,18,2006,15,4,497,5.5,1,0,1,1,0,0,1,1,0.3,0.3,0.5,0.8,22,25,36,0.18,0.00,0.18,0.18,0.18,0.06,0.10,0.15,0.06,0.15
Nick Fichtinger,nl NED,MF,Zwolle,20,2004,22,8,853,9.5,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.7,6,36,12,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07
Kolbeinn Finnsson,is ISL,DF,Utrecht,24,1999,5,0,155,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
Kian Fitz-Jim,nl NED,MF,Ajax,21,2003,27,12,1233,13.7,2,1,3,2,0,0,3,0,2.1,2.1,0.7,2.9,26,83,69,0.15,0.07,0.22,0.15,0.22,0.16,0.05,0.21,0.16,0.21
Ryan Flamingo,nl NED,DF,PSV Eindhoven,21,2002,34,33,2939,32.7,0,2,2,0,0,0,2,0,2.6,2.6,0.9,3.4,30,209,11,0.00,0.06,0.06,0.00,0.06,0.08,0.03,0.11,0.08,0.11
Sherel Floranus,cw CUW,DF,Almere City,25,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,9,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sherel Floranus,cw CUW,DF,Zwolle,25,1998,22,21,1758,19.5,0,1,1,0,0,0,2,0,0.8,0.8,1.1,1.9,17,49,71,0.00,0.05,0.05,0.00,0.05,0.04,0.06,0.10,0.04,0.10
Carlos Forbs,pt POR,FW,Ajax,20,2004,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.00,0.45
Ryan Fosso,ch SUI,MF,Fortuna Sittard,22,2002,30,30,2551,28.3,1,1,2,1,0,0,6,0,1.6,1.6,2.8,4.4,17,86,20,0.04,0.04,0.07,0.04,0.07,0.06,0.10,0.16,0.06,0.16
Oscar Fraulo,dk DEN,MF,Utrecht,20,2003,27,19,1711,19.0,3,3,6,3,0,0,3,0,2.1,2.1,3.1,5.2,26,63,76,0.16,0.16,0.32,0.16,0.32,0.11,0.16,0.27,0.11,0.27
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Anton Gaaei,dk DEN,DF,Ajax,21,2002,25,19,1781,19.8,3,4,7,3,0,0,5,1,1.7,1.7,4.3,6.0,64,88,157,0.15,0.20,0.35,0.15,0.35,0.09,0.22,0.30,0.09,0.30
Matt Garbett,nz NZL,"FW,MF",NAC Breda,22,2002,12,8,580,6.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,10,13,22,0.16,0.00,0.16,0.16,0.16,0.11,0.01,0.13,0.11,0.13
Anselmo García MacNulty,ie IRL,DF,Zwolle,21,2003,34,34,3060,34.0,1,0,1,1,0,0,2,0,2.4,2.4,0.7,3.1,24,137,16,0.03,0.00,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09
Stijn van Gassel,nl NED,GK,NEC Nijmegen,27,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lutsharel Geertruida,nl NED,DF,Feyenoord,24,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,1,26,8,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.17,0.10,0.17
Liam van Gelderen,sr SUR,DF,RKC Waalwijk,23,2001,32,29,2697,30.0,0,0,0,0,0,0,4,0,0.4,0.4,0.6,1.0,30,72,22,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Djomar Giersthove,nl NED,DF,Feyenoord,19,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Teun Gijselhart,nl NED,MF,Zwolle,19,2005,2,0,31,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,3,0,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.91,0.91,0.91
Santiago Giménez,mx MEX,FW,Feyenoord,23,2001,11,10,765,8.5,7,1,8,5,2,2,1,0,7.2,5.6,1.4,7.0,7,8,51,0.82,0.12,0.94,0.59,0.71,0.85,0.17,1.01,0.66,0.83
Mika Godts,be BEL,FW,Ajax,19,2005,29,20,1643,18.3,4,2,6,4,0,0,2,0,4.6,4.6,2.4,6.9,81,72,174,0.22,0.11,0.33,0.22,0.33,0.25,0.13,0.38,0.25,0.38
Wouter Goes,nl NED,DF,AZ Alkmaar,20,2004,26,23,2052,22.8,1,3,4,1,0,0,8,1,0.4,0.4,1.1,1.5,38,113,5,0.04,0.13,0.18,0.04,0.18,0.02,0.05,0.07,0.02,0.07
Facundo González,uy URU,DF,Feyenoord,21,2003,6,0,85,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,0,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22
Roberto González,es ESP,"MF,FW",NEC Nijmegen,23,2001,17,12,985,10.9,2,1,3,2,0,0,1,0,3.0,3.0,0.6,3.5,21,22,42,0.18,0.09,0.27,0.18,0.27,0.27,0.05,0.32,0.27,0.32
Tristan Gooijer,nl NED,DF,Zwolle,19,2004,1,1,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marvin da Graça,lu LUX,DF,Almere City,29,1995,12,8,795,8.8,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.9,6,19,29,0.11,0.00,0.11,0.11,0.11,0.05,0.05,0.10,0.05,0.10
Simon Graves Jensen,dk DEN,DF,Zwolle,25,1999,27,27,2314,25.7,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,15,106,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Leo Greiml,at AUT,DF,NAC Breda,23,2001,29,29,2586,28.7,2,0,2,2,0,0,11,2,1.2,1.2,0.9,2.1,17,72,2,0.07,0.00,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07
Dario Grujcic,at AUT,"DF,MF",Fortuna Sittard,25,1999,14,2,276,3.1,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,3,13,2,0.00,0.33,0.33,0.00,0.33,0.03,0.08,0.11,0.03,0.11
Baptiste Guillaume,be BEL,"FW,MF",Almere City,29,1995,18,5,438,4.9,1,0,1,1,0,0,0,1,1.1,1.1,0.4,1.5,2,10,20,0.21,0.00,0.21,0.21,0.21,0.22,0.09,0.30,0.22,0.30
Eser Gürbüz,nl NED,FW,Heerenveen,17,2007,11,2,310,3.4,2,1,3,2,0,0,0,0,1.6,1.6,0.6,2.2,13,11,33,0.58,0.29,0.87,0.58,0.87,0.46,0.18,0.64,0.46,0.64
Rodrigo Guth,br BRA,DF,Fortuna Sittard,23,2000,31,31,2744,30.5,3,0,3,3,0,0,5,1,1.6,1.6,1.2,2.8,12,59,12,0.10,0.00,0.10,0.10,0.10,0.05,0.04,0.09,0.05,0.09
Jonathan de Guzmán,nl NED,MF,Sparta R'dam,36,1987,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anis Hadj Moussa,dz ALG,"FW,MF",Feyenoord,22,2002,30,22,1969,21.9,8,3,11,8,0,0,4,0,3.2,3.2,5.0,8.2,110,96,209,0.37,0.14,0.50,0.37,0.50,0.15,0.23,0.37,0.15,0.37
Alen Halilović,hr CRO,"MF,FW",Fortuna Sittard,28,1996,27,23,1770,19.7,2,3,5,2,0,1,2,0,4.4,3.6,2.8,6.4,37,64,60,0.10,0.15,0.25,0.10,0.25,0.23,0.14,0.37,0.19,0.33
Denzel Hall,nl NED,DF,Heerenveen,23,2001,18,5,564,6.3,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,4,38,9,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Sébastien Haller,ci CIV,FW,Utrecht,30,1994,16,15,1269,14.1,4,1,5,4,0,0,0,0,5.8,5.8,1.9,7.7,9,38,70,0.28,0.07,0.35,0.28,0.35,0.41,0.14,0.55,0.41,0.55
Dávid Hancko,sk SVK,DF,Feyenoord,26,1997,32,32,2880,32.0,3,1,4,3,0,0,5,0,4.9,4.9,3.9,8.8,59,224,58,0.09,0.03,0.12,0.09,0.12,0.15,0.12,0.27,0.15,0.27
Kornelius Hansen,no NOR,"FW,MF",Almere City,23,2001,33,20,1888,21.0,2,2,4,2,0,0,0,0,4.6,4.6,1.5,6.1,46,33,135,0.10,0.10,0.19,0.10,0.19,0.22,0.07,0.29,0.22,0.29
Sontje Hansen,nl NED,"FW,MF",NEC Nijmegen,22,2002,31,23,1872,20.8,6,4,10,6,0,0,3,0,4.0,4.0,4.1,8.1,77,62,161,0.29,0.19,0.48,0.29,0.48,0.19,0.20,0.39,0.19,0.39
Quilindschy Hartman,nl NED,DF,Feyenoord,22,2001,12,8,645,7.2,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,16,50,24,0.00,0.14,0.14,0.00,0.14,0.03,0.15,0.18,0.03,0.18
Jorrel Hato,nl NED,DF,Ajax,18,2006,31,30,2588,28.8,2,6,8,2,0,0,5,0,1.4,1.4,3.3,4.7,41,120,85,0.07,0.21,0.28,0.07,0.28,0.05,0.12,0.16,0.05,0.16
Mike Hauptmeijer,nl NED,GK,Zwolle,27,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thom Haye,id IDN,MF,Almere City,29,1995,29,25,2040,22.7,0,2,2,0,0,0,7,0,1.9,1.9,3.9,5.8,28,182,32,0.00,0.09,0.09,0.00,0.09,0.08,0.17,0.26,0.08,0.26
Jordan Henderson,eng ENG,MF,Ajax,34,1990,28,21,1872,20.8,1,4,5,1,0,0,6,0,1.1,1.1,3.9,4.9,34,181,34,0.05,0.19,0.24,0.05,0.24,0.05,0.19,0.24,0.05,0.24
Lucas Vennegoor of Hesselink,nl NED,"FW,MF",Twente,18,2006,8,0,76,0.8,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,1,8,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.80,0.80
Mees Hilgers,id IDN,DF,Twente,23,2001,25,23,1874,20.8,1,1,2,1,0,0,5,0,2.7,2.7,0.2,2.9,24,102,5,0.05,0.05,0.10,0.05,0.10,0.13,0.01,0.14,0.13,0.14
Mees Hoedemakers,nl NED,MF,NEC Nijmegen,26,1998,27,19,1787,19.9,0,1,1,0,0,0,1,0,1.2,1.2,0.9,2.0,15,97,19,0.00,0.05,0.05,0.00,0.05,0.06,0.04,0.10,0.06,0.10
Justin Hoogma,nl NED,DF,Heracles Almelo,26,1998,9,1,254,2.8,2,0,2,2,0,0,0,0,1.2,1.2,0.2,1.5,3,9,2,0.71,0.00,0.71,0.71,0.71,0.44,0.09,0.52,0.44,0.52
Sydney van Hooijdonk,nl NED,FW,NAC Breda,24,2000,17,11,988,11.0,1,0,1,1,0,0,0,0,2.9,2.9,0.6,3.5,6,10,58,0.09,0.00,0.09,0.09,0.09,0.26,0.05,0.32,0.26,0.32
Nikolai Hopland,no NOR,DF,Heerenveen,20,2004,29,27,2464,27.4,2,0,2,2,0,0,0,0,1.7,1.7,0.3,1.9,24,142,2,0.07,0.00,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07
Siebe Horemans,be BEL,DF,Utrecht,26,1998,29,26,2362,26.2,1,4,5,1,0,0,1,0,0.4,0.4,2.8,3.2,18,117,80,0.04,0.15,0.19,0.04,0.19,0.02,0.11,0.12,0.02,0.12
Jizz Hornkamp,nl NED,"FW,MF",Heracles Almelo,26,1998,26,19,1580,17.6,8,2,10,6,2,2,5,0,6.4,4.8,1.6,6.4,13,30,63,0.46,0.11,0.57,0.34,0.46,0.36,0.09,0.46,0.27,0.37
Jeroen Houwen,nl NED,GK,RKC Waalwijk,28,1996,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Johan Hove,no NOR,MF,Groningen,23,2000,20,20,1748,19.4,0,0,0,0,0,0,0,0,1.5,1.5,1.1,2.6,8,98,32,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14
Joël Ideho,nl NED,FW,Sparta R'dam,21,2003,4,1,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6,3,10,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.27,0.02,0.27
Younes Taha El Idrissi,ma MAR,"FW,MF",Twente,,,9,1,216,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,8,7,33,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20
Mohammed Ihattaren,nl NED,"MF,FW",RKC Waalwijk,22,2002,24,17,1542,17.1,4,4,8,2,2,2,1,0,4.0,2.4,4.8,7.2,74,100,119,0.23,0.23,0.47,0.12,0.35,0.23,0.28,0.51,0.14,0.42
Hwang In-beom,kr KOR,MF,Feyenoord,27,1996,21,20,1618,18.0,3,2,5,3,0,0,5,0,1.0,1.0,3.8,4.8,23,112,50,0.17,0.11,0.28,0.17,0.28,0.05,0.21,0.26,0.05,0.26
Zidane Iqbal,iq IRQ,MF,Utrecht,21,2003,18,18,1449,16.1,1,0,1,1,0,0,3,0,0.6,0.6,1.0,1.6,15,106,11,0.06,0.00,0.06,0.06,0.06,0.04,0.06,0.10,0.04,0.10
Luka Ivanušec,hr CRO,"FW,MF",Feyenoord,25,1998,13,5,482,5.4,1,0,1,1,0,0,0,0,1.2,1.2,0.5,1.7,19,24,39,0.19,0.00,0.19,0.19,0.19,0.23,0.10,0.32,0.23,0.32
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Joey Jacobs,nl NED,DF,Almere City,24,2000,19,13,1169,13.0,1,0,1,1,0,0,1,1,0.8,0.8,0.2,0.9,6,39,3,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07
Alireza Jahanbakhsh,ir IRN,"FW,MF",Heerenveen,30,1993,19,16,1451,16.1,3,2,5,2,1,1,3,0,3.5,2.8,3.5,6.2,33,82,158,0.19,0.12,0.31,0.12,0.25,0.22,0.21,0.43,0.17,0.39
Alexander Jakobsen,eg EGY,"FW,MF",RKC Waalwijk,30,1994,5,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Dean James,id IDN,DF,Go Ahead Eag,24,2000,25,19,1700,18.9,2,2,4,2,0,0,3,0,1.6,1.6,4.2,5.8,37,56,85,0.11,0.11,0.21,0.11,0.21,0.09,0.22,0.31,0.09,0.31
Dominik Janošek,cz CZE,MF,NAC Breda,26,1998,28,11,1159,12.9,2,4,6,1,1,1,0,0,2.2,1.4,1.8,3.2,15,79,46,0.16,0.31,0.47,0.08,0.39,0.17,0.14,0.31,0.11,0.25
Dies Janse,nl NED,DF,Ajax,18,2006,5,3,330,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,13,37,3,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.08,0.01,0.08
Kai Jansen,nl NED,MF,Heerenveen,17,2007,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52
Ali Jasim,iq IRQ,"FW,MF",Almere City,20,2004,11,4,437,4.9,1,0,1,1,0,0,0,0,0.8,0.8,1.4,2.2,20,25,42,0.21,0.00,0.21,0.21,0.21,0.16,0.29,0.45,0.16,0.45
Victor Jensen,dk DEN,MF,Utrecht,24,2000,29,10,1093,12.1,2,3,5,2,0,0,1,0,3.0,3.0,2.1,5.0,13,54,56,0.16,0.25,0.41,0.16,0.41,0.24,0.17,0.41,0.24,0.41
Owen Johnson,nl NED,"FW,MF",Fortuna Sittard,18,2005,3,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miliano Jonathans,nl NED,"FW,MF",Utrecht,20,2004,8,3,273,3.0,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,11,11,29,0.00,0.00,0.00,0.00,0.00,0.22,0.06,0.28,0.22,0.28
Luuk de Jong,nl NED,FW,PSV Eindhoven,33,1990,31,29,2445,27.2,14,8,22,12,2,4,3,0,17.8,14.6,8.1,22.8,11,71,190,0.52,0.29,0.81,0.44,0.74,0.66,0.30,0.96,0.54,0.84
Tika de Jonge,nl NED,MF,Groningen,21,2003,21,15,1271,14.1,1,1,2,1,0,0,3,1,1.0,1.0,0.6,1.6,18,76,17,0.07,0.07,0.14,0.07,0.14,0.07,0.04,0.11,0.07,0.11
