Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
João Graça,"MF,FW",29,1995,16,3,493,5.5,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.2,11,19,25,0.18,0.00,0.18,0.18,0.18,0.21,0.01,0.22,0.21,0.22
Samuel Granada,FW,24,2000,4,3,240,2.7,0,1,1,0,0,0,2,1,0.9,0.9,0.4,1.4,1,4,12,0.00,0.37,0.37,0.00,0.37,0.35,0.16,0.51,0.35,0.51
Jaume Grau,MF,27,1997,29,25,2119,23.5,2,2,4,2,0,0,13,0,0.6,0.6,1.0,1.6,10,87,11,0.08,0.08,0.17,0.08,0.17,0.02,0.04,0.07,0.02,0.07
Marko Grujić,MF,28,1996,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.14,0.00,1.14
Marko Gudžulić,GK,22,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rafik Guitane,"FW,MF",25,1999,21,9,857,9.5,0,4,4,0,0,0,0,0,1.0,1.0,3.0,4.0,25,47,67,0.00,0.42,0.42,0.00,0.42,0.10,0.32,0.42,0.10,0.42
Rafik Guitane,FW,25,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Deniz Gül,FW,20,2004,14,5,444,4.9,1,0,1,1,0,0,0,0,1.4,1.4,0.4,1.8,6,9,24,0.20,0.00,0.20,0.20,0.20,0.29,0.09,0.37,0.29,0.37
Viktor Gyökeres,FW,26,1998,33,31,2804,31.2,39,7,46,27,12,12,4,0,30.8,21.4,7.1,28.5,133,68,335,1.25,0.22,1.48,0.87,1.09,0.99,0.23,1.22,0.69,0.92
Justin de Haas,DF,24,2000,29,27,2468,27.4,2,0,2,1,1,1,5,0,1.9,1.1,0.2,1.3,9,79,4,0.07,0.00,0.07,0.04,0.04,0.07,0.01,0.08,0.04,0.05
Habraão,FW,23,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tomás Händel,MF,23,2000,32,29,2516,28.0,2,1,3,2,0,0,5,0,1.6,1.6,1.9,3.5,40,174,53,0.07,0.04,0.11,0.07,0.11,0.06,0.07,0.13,0.06,0.13
Conrad Harder,"FW,MF",19,2005,28,6,784,8.7,5,5,10,5,0,0,0,0,3.0,3.0,2.9,5.8,21,11,80,0.57,0.57,1.15,0.57,1.15,0.34,0.33,0.67,0.34,0.67
Thiago Helguera,MF,18,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gustavo Henrique,"MF,FW",25,1999,4,4,228,2.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.2,3,2,14,0.00,0.39,0.39,0.00,0.39,0.01,0.05,0.06,0.01,0.06
Morten Hjulmand,MF,25,1999,28,26,2214,24.6,2,2,4,1,1,1,11,1,2.0,1.2,1.8,3.0,13,157,32,0.08,0.08,0.16,0.04,0.12,0.08,0.07,0.15,0.05,0.12
Jordan Holsgrove,MF,24,1999,28,26,2383,26.5,1,4,5,1,0,0,6,0,1.1,1.1,4.0,5.1,26,176,36,0.04,0.15,0.19,0.04,0.19,0.04,0.15,0.19,0.04,0.19
Lukáš Horníček,GK,22,2002,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
André Horta,MF,27,1996,12,6,508,5.6,0,4,4,0,0,0,0,0,0.6,0.6,1.2,1.8,21,57,18,0.00,0.71,0.71,0.00,0.71,0.10,0.21,0.31,0.10,0.31
Ricardo Horta,"MF,FW",29,1994,34,32,2837,31.5,10,5,15,10,0,0,2,0,7.9,7.9,5.2,13.1,28,122,166,0.32,0.16,0.48,0.32,0.48,0.25,0.17,0.42,0.25,0.42
Igor,MF,21,2003,13,9,800,8.9,0,0,0,0,0,0,4,0,0.2,0.2,1.0,1.1,3,29,3,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13
André Inácio,"MF,FW",22,2002,11,7,638,7.1,1,1,2,1,0,0,1,0,1.8,1.8,1.1,2.9,25,8,34,0.14,0.14,0.28,0.14,0.28,0.25,0.16,0.41,0.25,0.41
André Inácio,"FW,MF",22,2002,16,13,1178,13.1,1,1,2,1,0,0,1,0,2.4,2.4,1.3,3.8,51,33,94,0.08,0.08,0.15,0.08,0.15,0.19,0.10,0.29,0.19,0.29
Gonçalo Inácio,DF,22,2001,28,25,2255,25.1,3,2,5,3,0,0,6,0,2.6,2.6,0.8,3.4,32,184,14,0.12,0.08,0.20,0.12,0.20,0.10,0.03,0.14,0.10,0.14
Isaac,FW,20,2004,27,15,1233,13.7,3,1,4,3,0,0,3,0,3.2,3.2,0.4,3.6,7,12,58,0.22,0.07,0.29,0.22,0.29,0.23,0.03,0.26,0.23,0.26
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
