,full_name,total_points
196,Levi Colwill,65
197,Marc Cucurella Saseta,44
198,Enzo Fernández,77
199,David Datro Fofana,50
200,Wesley Fofana,0
201,Conor Gallagher,129
202,Malo Gusto,74
203,Lewis Hall,38
204,Callum Hudson-Odoi,109
205,Reece James,11
206,Romelu Lukaku Bolingoli,0
207,Noni Madueke,76
208,Mason Mount,23
209,Mykhailo Mudryk,94
210,Nicolas Jackson,142
211,Christopher Nkunku,29
212,Christian Pulisic,0
213,Malang Sarr,0
214,Gabriel Słonina,0
215,Raheem Sterling,123
216,Thiago Emiliano da Silva,98
217,Hakim Ziyech,0
218,Naouirou Ahamada,16
219,Joachim Andersen,121
220,Jordan Ayew,109
221,Nathaniel Clyne,52
222,Cheick Doucouré,21
223,Malcolm Ebiowei,0
224,Odsonne Edouard,79
225,Eberechi Eze,136
226,Vicente Guaita,0
227,Marc Guéhi,66
228,Will Hughes,61
229,Sam Johnstone,68
230,Jefferson Lerma Solís,64
231,Jean-Philippe Mateta,165
232,Remi Matthews,1
233,Tyrick Mitchell,119
234,Jake O’Brien,0
235,Michael Olise,125
236,Luke Plange,0
237,Chris Richards,62
238,Jairo Riedewald,12
239,Jeffrey Schlupp,66
240,James Tomkins,3
241,Joel Ward,54
242,Joe Whitworth,0
243,André Tavares Gomes,20
244,Jarrad Branthwaite,124
245,Dominic Calvert-Lewin,101
246,Seamus Coleman,30
247,Dele Alli,0
248,Abdoulaye Doucouré,116
249,James Garner,87
250,Jean-Philippe Gbamin,0
251,Ben Godfrey,37
252,Demarai Gray,0
253,Idrissa Gueye,73
254,Mason Holgate,1
255,Alex Iwobi,102
256,Michael Keane,18
257,Neal Maupay,76
258,Dwight McNeil,124
259,Vitalii Mykolenko,101
260,Amadou Onana,66
261,Nathan Patterson,34
262,Jordan Pickford,153
263,Ellis Simms,0
264,James Tarkowski,117
265,João Neves Virgínia,0
266,Andreas Hoelgebaum Pereira,127
267,Tom Cairney,70
268,Ivan Neves Abreu Cavaleiro,0
269,Bobby De Cordova-Reid,92
270,Issa Diop,43
271,Tyrese Francois,0
272,Anthony Knockaert,0
273,Terence Kongolo,0
274,Bernd Leno,133
275,Saša Lukić,43
276,Kevin Mbabu,0
277,Aleksandar Mitrović,1
278,Rodrigo Muniz Carvalho,97
279,João Palhinha Gonçalves,91
280,Tim Ream,40
281,Harrison Reed,47
282,Antonee Robinson,104
283,Marek Rodák,-1
284,Kenny Tete,27
285,Tosin Adarabioyo,66
286,Carlos Vinícius Alves Morais,22
287,Harry Wilson,94
288,Adrián San Miguel del Castillo,0
289,Trent Alexander-Arnold,122
290,Alisson Ramses Becker,107
291,Stefan Bajcetic,1
292,Darwin Núñez Ribeiro,132
293,Diogo Teixeira da Silva,110
294,Harvey Elliott,96
295,Fabio Henrique Tavares,0
296,Cody Gakpo,106
297,Joe Gomez,76
298,Jordan Henderson,0
299,Curtis Jones,40
300,Caoimhin Kelleher,34
301,Ibrahima Konaté,56
302,Luis Díaz,142
303,Alexis Mac Allister,109
304,Joel Matip,21
305,Nathaniel Phillips,0
306,Andrew Robertson,76
307,Mohamed Salah,211
308,Dominik Szoboszlai,99
309,Thiago Alcántara do Nascimento,1
310,Konstantinos Tsimikas,48
311,Sepp van den Berg,0
312,Virgil van Dijk,117
313,Elijah Adebayo,94
314,Mads Juel Andersen,15
315,Amari’i Bell,35
316,Luke Berry,31
317,Reece Burke,40
318,Allan Campbell,0
319,Jordan Clark,44
320,Alfie Doughty,101
321,Luke Freeman,0
322,Matt Macey,0
323,John McAtee,0
324,Carlos Mendes Gomes,0
325,Carlton Morris,146
326,Admiral Muskwe,0
327,Chiedozie Ogbene,84
328,Fred Onyedinma,11
329,Gabriel Osho,41
330,Aribim Pepple,0
331,Dion Pereira,0
332,Dan Potts,0
333,Glen Rea,0
334,James Shea,1
335,Joe Taylor,0
336,Elliot Thorpe,0
337,Jack Walton,0
338,Louie Watson,0
339,Cauley Woodrow,33
340,Manuel Akanji,112
341,Nathan Aké,99
342,Julián Álvarez,158
343,Bernardo Veiga de Carvalho e Silva,141
344,Oscar Bobb,30
345,João Cancelo,0
346,Scott Carson,0
347,Shea Charles,0
348,Kevin De Bruyne,98
349,Rúben Gato Alves Dias,88
350,Tommy Doyle,38
351,Ederson Santana de Moraes,112
352,Phil Foden,230
353,Jack Grealish,50
354,Erling Haaland,217
355,Mateo Kovačić,59
356,Aymeric Laporte,1
357,Rico Lewis,52
358,Riyad Mahrez,0
359,James McAtee,77
360,Stefan Ortega Moreno,22
361,Cole Palmer,244
362,Máximo Perrone,0
363,Kalvin Phillips,10
364,Rodrigo Hernandez,159
365,Sergio Gómez,9
366,Zack Steffen,0
367,John Stones,53
368,Kyle Walker,123
369,Alex Telles,0
370,Amad Diallo,23
371,Antony Matheus dos Santos,47
372,Bruno Borges Fernandes,166
373,Brandon Williams,0
374,Eric Bailly,0
375,Carlos Henrique Casimiro,58
376,Diogo Dalot Teixeira,111
377,Anthony Elanga,119
378,Christian Eriksen,48
379,Álvaro Fernández Carreras,0
380,Frederico Rodrigues de Paula Santos,0
381,Alejandro Garnacho,131
382,Hannibal Mejbri,11
383,Tom Heaton,0
384,Dean Henderson,48
385,Victor Lindelöf,62
386,Harry Maguire,73
387,Kobbie Mainoo,77
388,Tyrell Malacia,0
389,Anthony Martial,25
390,Lisandro Martínez,15
391,Scott McTominay,98
392,Teden Mengi,42
393,Facundo Pellistri Rebollo,13
394,Raphaël Varane,44
395,Marcus Rashford,108
396,Jadon Sancho,3
397,Luke Shaw,31
398,Shola Shoretire,0
399,Donny van de Beek,1
400,Aaron Wan-Bissaka,47
401,Miguel Almirón Rejala,77
402,Elliot Anderson,42
403,Harrison Ashby,0
404,Sven Botman,51
405,Bruno Guimarães Rodriguez Moura,153
406,Dan Burn,97
407,Karl Darlow,0
408,Martin Dubravka,75
409,Ryan Fraser,0
410,Mark Gillespie,0
411,Anthony Gordon,183
412,Isaac Hayden,0
413,Jeff Hendrick,0
414,Alexander Isak,172
415,Joelinton Cássio Apolinário de Lira,45
416,Emil Krafth,33
417,Garang Kuol,0
418,Jamaal Lascelles,46
419,Jamal Lewis,0
420,Sean Longstaff,110
421,Javier Manquillo Gaitán,0
422,Jacob Murphy,82
423,Nick Pope,57
424,Matt Ritchie,17
425,Allan Saint-Maximin,0
426,Fabian Schär,123
427,Matt Targett,2
428,Sandro Tonali,16
429,Kieran Trippier,111
430,Kell Watts,0
431,Joe Willock,18
432,Callum Wilson,69
433,Brandon Aguilera Zamora,1
434,Harry Arter,0
435,Serge Aurier,27
436,Taiwo Awoniyi,67
437,Giulian Biancone,0
438,Willy Boly,58
439,Josh Bowler,0
440,Steve Cook,0
441,Danilo dos Santos de Oliveira,65
442,Emmanuel Dennis,0
443,Mohamed Dräger,0
444,Felipe Augusto de Almeida Monteiro,7
445,Remo Freuler,0
446,Morgan Gibbs-White,142
447,Wayne Hennessey,0
448,Ethan Horvath,0
449,Brennan Johnson,131
450,Cheikhou Kouyaté,12
451,Richie Laryea,0
452,Orel Mangala,40
453,Loïc Mbe Soh,0
454,Scott McKenna,12
455,Alex Mighten,0
456,Moussa Niakhaté,29
457,Lewis O’Brien,0
458,Braian Ojeda Rodríguez,0
459,Jonathan Panzo,0
460,Omar Richards,0
461,Gustavo Henrique Furtado Scarpa,0
462,Jonjo Shelvey,0
463,Sam Surridge,0
464,Harry Toffolo,52
465,Hwang Ui-jo,0
466,Neco Williams,39
467,Chris Wood,131
468,Joe Worrall,13
469,Ryan Yates,59
470,Anel Ahmedhodžić,31
471,Jordan Amissah,0
472,George Baldock,21
473,Chris Basham,8
474,Sander Berge,74
475,Jayden Bogle,63
476,Rhian Brewster,11
477,Ismaila Coulibaly,0
478,Adam Davies,0
479,John Egan,1
480,John Fleck,3
481,Wes Foderingham,70
482,Daniel Jebbison,1
483,Max Lowe,13
484,Oliver McBurnie,66
485,Iliman Ndiaye,0
486,Rhys Norrington-Davies,2
487,Oliver Norwood,42
488,Ben Osborn,38
489,William Osula,25
490,Brandon Austin,0
491,Rodrigo Bentancur,32
492,Yves Bissouma,44
493,Bryan Gil Salvatierra,12
494,Ben Davies,34
495,Eric Dier,2
496,Emerson Leite de Souza Junior,27
497,Fraser Forster,0
498,Pierre-Emile Højbjerg,39
499,Harry Kane,0
500,Dejan Kulusevski,130
501,Hugo Lloris,0
502,Giovani Lo Celso,47
503,James Maddison,117
504,Tanguy Ndombélé Alvaro,0
505,Pedro Porro,136
506,Ivan Perišić,6
507,Sergio Reguilón,74
508,Richarlison de Andrade,122
509,Joe Rodon,0
510,Cristian Romero,107
511,Davinson Sánchez,0
512,Pape Matar Sarr,86
513,Ryan Sessegnon,0
514,Oliver Skipp,22
515,Son Heung-min,213
516,Djed Spence,0
517,Japhet Tanganga,0
518,Destiny Udogie,79
519,Guglielmo Vicario,112
520,Alfie Whiteman,0
521,Nayef Aguerd,36
522,Michail Antonio,78
523,Alphonse Areola,116
524,Saïd Benrahma,20
525,Jarrod Bowen,182
526,Maxwel Cornet,13
527,Vladimír Coufal,85
528,Conor Coventry,0
529,Aaron Cresswell,10
530,Flynn Downes,0
531,Emerson Palmieri dos Santos,82
532,Lukasz Fabianski,24
533,Pablo Fornals Malla,19
534,Danny Ings,36
535,Ben Johnson,17
536,Thilo Kehrer,2
537,Divin Mubama,5
538,Lucas Tolentino Coelho de Lima,100
539,Declan Rice,165
540,Gianluca Scamacca,0
541,Tomáš Souček,116
542,Nikola Vlašić,0
543,Kurt Zouma,76
544,Rayan Aït-Nouri,77
545,Daniel Bentley,18
546,Bendegúz Bolla,0
547,Hugo Bueno López,29
548,Francisco Jorge Tomás Oliveira,0
549,Luke Cundle,0
550,Craig Dawson,69
551,Fábio Silva,8
552,Ryan Giles,11
553,Gonçalo Manuel Ganchinho Guedes,0
554,Joe Hodge,0
555,Ki-Jana Hoever,0
556,Hwang Hee-chan,125
557,Raúl Jiménez,72
558,João Victor Gomes da Silva,75
559,Jonathan Castro Otto,1
560,Bruno Cavaco Jordão,0
561,Sasa Kalajdzic,24
562,Max Kilman,82
563,Tom King,0
564,Mario Lemina,95
565,Matheus Luiz Nunes,32
566,Pedro Lomba Neto,86
567,Daniel Castelo Podence,0
568,José Malheiro de Sá,107
569,Pablo Sarabia,99
570,Matija Šarkić,0
571,Nélson Cabral Semedo,63
572,Toti António Gomes,82
573,Boubacar Traoré,25
574,Tom Lockyer,23
575,Jack Robinson,33
576,Angelo Ogbonna,19
577,Reiss Nelson,16
578,Andy Lonergan,0
579,Loris Karius,1
580,Paul Dummett,5
581,Pelly Ruddock Mpanzu,35
582,Manor Solomon,14
583,Pau Torres,85
584,Jurriën Timber,0
585,Tahith Chong,78
586,Anis Slimane,14
587,Ashley Young,76
588,Ângelo Gabriel Borges Damaceno,0
589,Matheus Santos Carneiro Da Cunha,135
590,Willian Borges da Silva,94
591,Yasser Larouci,10
592,Bénie Traoré,11
593,Zeki Amdouni,85
594,Milos Kerkez,59
595,James Trafford,70
596,André Onana,133
597,Matt Doherty,41
598,Moussa Diaby,142
599,Nathan Redmond,11
600,Arnaut Danjuma Groeneveld,26
601,Issa Kaboré,34
602,Harvey Barnes,64
603,Olu Aina,45
604,Luca Koleosho,40
605,Igor Julio dos Santos de Paulo,37
606,Ionuț Radu,2
607,Jacob Bruun Larsen,82
608,Ian Maatsen,11
609,Calvin Bassey,66
610,Axel Disasi,71
611,Lesley Ugochukwu,13
612,Thomas Kaminski,86
613,Matheus França de Oliveira,16
614,Joško Gvardiol,123
615,Rasmus Højlund,112
616,Omari Kellyman,2
617,Ben Greenwood,0
618,Michael Olakigbe,8
619,Jack Hinshelwood,42
620,Owen Dodgson,0
621,Mason Burstow,2
622,Lewis Dobbin,18
623,Luc De Fougerolles,0
624,Jarell Quansah,49
625,Bobby Clark,5
626,Ben Doak,1
627,James McConnell,3
628,Ross Barkley,101
629,Jacob Brown,39
630,Omari Forson,7
631,Tino Livramento,45
632,Alex Murphy,2
633,Lewis Miley,44
634,George Shelvey,0
635,Josh Powell,0
636,Vini de Souza Costa,73
637,Micky van de Ven,81
638,Dane Scarlett,4
639,Alejo Véliz,11
640,Edson Álvarez Velázquez,62
641,Max Aarons,28
642,Alex Scott,41
643,Youssef Ramalho Chermiti,16
644,Karl Hein,0
645,Joseph Anang,0
646,Aidan Francis-Clarke,0
647,Thomas Cannon,1
648,Tyler Onyango,1
649,Jay Stansfield,0
650,Matthew Dibley-Dias,0
651,Femi Seriki,0
652,Louie Marsh,0
653,Andre Brooks,26
654,Antwoine Hackford,2
655,Jesurun Rak-Sakyi,8
656,John-Kymani Gordon,0
657,Lucas Bergström,0
658,Wilson Odobert,82
659,Jack Harrison,92
660,Adama Traoré,36
661,Gustavo Hamer,108
662,James Ward-Prowse,146
663,Tim Krul,0
664,Tom Davies,7
665,Roméo Lavia,1
666,Wataru Endo,47
667,Radek Vítek,0
668,Filip Marschall,0
669,Bashir Humphreys,0
670,Nicolò Zaniolo,34
671,Tyler Adams,5
672,Hannes Delcroix,7
673,Aaron Ramsey,18
674,Konstantinos Mavropanos,40
675,Deivid Washington de Souza Eugênio,2
676,Jérémy Doku,98
677,Gonzalo Montiel,28
678,Eddie Beach,0
679,Diego Manuel Jadon da Silva Moreira,0
680,Joseph Johnson,0
681,Luke Harris,2
682,Ethan Brierley,0
683,Daniel Gore,1
684,Oliwier Zych,0
685,Đorđe Petrović,71
686,Timothy Castagne,105
687,Mohammed Kudus,137
688,Carlos Baleba,34
689,Norberto Bercique Gomes Betuncal,50
690,Steven Benda,0
691,Luke Thomas,7
692,Han-Noah Massengo,3
693,Altay Bayindir,0
694,Murillo Santiago Costa dos Santos,58
695,Santiago Bueno,13
696,Enso González,1
697,Clément Lenglet,24
698,Anssumane Fati Vieira,33
699,Saman Ghoddos,26
700,Ashley Phillips,0
701,Jonny Evans,49
702,Nathan Fraser,7
703,Luis Sinisterra,43
704,Mike Trésor,20
705,Fodé Ballo-Touré,5
706,Ryan Gravenberch,45
707,Sofyan Amrabat,26
708,Odysseas Vlachodimos,12
709,Andrew Omobamidele,11
710,Nicolás Domínguez,67
711,Ibrahim Sangaré,25
712,Divock Origi,25
713,Jean-Ricner Bellegarde,45
714,Alfie Gilchrist,20
715,Ronnie Stutter,0
716,Alex Matos,1
717,Mackenzie Hunt,0
718,Ademola Ola-Adebomi,0
719,David Ozoh,8
720,Jamie Donley,2
721,Josh Brooking,0
722,Jadan Raymond,0
723,Ji-Soo Kim,0
724,Luke Chambers,0
725,Andros Townsend,61
726,Callum Scanlon,0
727,Jayden Luker,0
728,Ryan Oné,1
729,Jili Buyabu,0
730,Devan Tanton,0
731,Valintino Adedokun,0
732,Zack Nelson,2
733,Charles Sagoe,0
734,Reuell Walters,0
735,Bradley Ibrahim,0
736,Amadou Diallo,1
737,Ben Parkinson,1
738,Alfie Dorrington,0
739,Mark O’Mahony,2
740,Benicio Baker-Boaitey,4
741,Treymaurice Nyoni,0
742,Myles Peart-Harris,3
743,Michael Ndiweni,1
744,Ben Jackson,0
745,Joshua Duffus,0
746,Joe Hugill,0
747,Matthew Whittingham,0
748,Tawanda Chirewa,8
749,Justin Hubner,0
750,Vincent Angelini,0
751,Leigh Kavanagh,0
752,Yago de Santiago Alonso,0
753,Luca Barrington,0
754,Marcelo de Araújo Pitaluga Filho,0
755,Conor Bradley,50
756,Leo Castledine,0
757,Sydie Peck,1
758,Jenson Metcalfe,0
759,Elijah Campbell,0
760,Mahamadou Susoho,0
761,Tayo Adaramola,0
762,Myles Lewis-Skelly,0
763,Sam Proctor,0
764,Willy Kambwala,5
765,Tommi O’Reilly,0
766,Rhys Bennett,0
767,Owen Hesketh,0
768,Ty Barnett,0
769,Micah Hamilton,0
770,Ethan Nwaneri,1
771,Lewis Orford,0
772,Kaelan Casey,1
773,Ben Brereton,62
774,Timo Werner,46
775,Radu Dragusin,14
776,James Wright,0
777,Jamie McDonnell,0
778,Detlef Esapa Osong,0
779,Joe Gardner,0
780,Owen Beck,1
781,Kaide Gordon,1
782,Oliver Scarles,0
783,Callum Marshall,0
784,Cameron Peupion,0
785,Harvey Griffiths,0
786,Yerson Mosquera,0
787,Hákon Valdimarsson,0
788,Ivo Grbic,15
789,Cesare Casadei,11
790,Daniel Muñoz,56
791,Kaine Kesler-Hayden,3
792,Joe White,3
793,Travis Hernes,0
794,Kristian Sekularac,0
795,Benjamin Fredrick,0
796,Daiki Hashioka,4
797,Romain Faivre,4
798,Noha Lemina,0
799,Giovanni Reyna,13
800,Max Kinsey,0
801,Morgan Rogers,35
802,Enes Ünal,40
803,Lorenz Assignon,25
804,Maxime Esteve,15
805,Adam Wharton,50
806,Matz Sels,34
807,Rodrigo Duarte Ribeiro,4
808,Joshua King,0
809,Dominic Sadi,1
810,Lewis Koumas,0
811,Fabian Mrozek,0
812,Jacob Wright,0
813,Mauro Bandeira,0
814,Valentín Barco,5
815,James Sweet,0
816,Joe Gauci,0
817,Ishé Samuels-Smith,0
818,Ollie Harrison,0
819,Franco Umeh-Chibueze,0
820,Billy Blacker,0
821,Oliver Arblaster,19
822,Jayden Danns,1
823,Kaden Rodney,0
824,Toby Collyer,0
825,Dovydas Sasnauskas,0
826,Sam Curtis,1
827,George Earthy,8
828,Jimi Tauriainen,1
829,Axel Piesold,0
830,Wesley Okoduwa,0
831,Habeeb Ogunneye,0
832,Benjamin Arthur,0
833,Dermot Mee,0
834,Leon Chiwome,5
835,Amara Nallo,0
836,Josh Acheampong,1
837,Dominic Dos Santos Martins,0
838,Fletcher Holman,0
839,Lewis Warrington,1
840,Roshaun Mathurin,0
841,Samy Chouchane,0
842,Christian Chigozie,0
843,Odeluga Offiah,4
844,Harry Amass,0
845,Teddy Sharman-Lowe,0
846,Taylan Harris,0
847,Michael Dacosta Gonzalez,0
848,Ethan Wheatley,3
849,Tyrique George,0
850,Kiano Dyer,0
851,Temple Ojinnaka,0
852,Finley Munroe,1
853,Callan McKenna,0
854,Louis Jackson,0
855,Owen Hampson,0
856,Ted Curd,0
857,Zak Sturge,0
858,Mikey Moore,2
859,Noël Atom,0
860,Tyrese Hall,0
861,Billy Crellin,0
862,Yunus Konak,0
863,Kadan Young,0
864,Lander Emery,0
