,full_name,total_points
0,Folarin Balogun,0
1,Cédric Alves Soares,3
2,Mohamed Elneny,6
3,Fábio Ferreira Vieira,24
4,Gabriel dos Santos Magalhães,149
5,Kai Havertz,180
6,Rob Holding,0
7,Gabriel Fernando de Jesus,85
8,Jorge Luiz Frello Filho,44
9,Jakub Kiwior,67
10,Marcus Oliveira Alencar,0
11,Gabriel Martinelli Silva,118
12,Eddie Nketiah,71
13,Martin Ødegaard,186
14,Thomas Partey,24
15,Nicolas Pépé,0
16,Aaron Ramsdale,20
17,Rúnar Alex Rúnarsson,0
18,Bukayo Saka,226
19,William Saliba,164
20,Albert Sambi Lokonga,47
21,Emile Smith Rowe,25
22,Nuno Varela Tavares,11
23,Kieran Tierney,0
24,Takehiro Tomiyasu,70
25,Leandro Trossard,138
26,Auston Trusty,28
27,Matt Turner,41
28,Benjamin White,182
29,Granit Xhaka,0
30,Oleksandr Zinchenko,104
31,Alexandre Moreno Lopera,49
32,Cameron Archer,82
33,Leon Bailey,148
34,Emiliano Buendía Stati,0
35,Matty Cash,64
36,Calum Chambers,6
37,Philippe Coutinho Correia,2
38,Keinan Davis,0
39,Leander Dendoncker,20
40,Diego Carlos Santos Silva,55
41,Lucas Digne,85
42,Douglas Luiz Soares de Paulo,148
43,Jhon Durán,50
44,Kortney Hause,0
45,Tim Iroegbunam,10
46,Boubacar Kamara,40
47,Ezri Konsa Ngoyo,91
48,Emiliano Martínez Romero,115
49,John McGinn,119
50,Tyrone Mings,0
51,Marvelous Nakamba,21
52,Robin Olsen,17
53,Jaden Philogene-Bidace,1
54,Jacob Ramsey,29
55,Morgan Sanson,0
56,Viljami Sinisalo,0
57,Youri Tielemans,77
58,Bertrand Traoré,2
59,Ollie Watkins,228
60,Wesley Moraes Ferreira da Silva,0
61,Jaidon Anthony,3
62,Philip Billing,60
63,David Brooks,23
64,Ryan Christie,90
65,Lewis Cook,77
66,Siriki Dembélé,0
67,Ryan Fredericks,0
68,James Hill,5
69,Lloyd Kelly,48
70,Gavin Kilkenny,0
71,Justin Kluivert,100
72,Jamal Lowe,0
73,Emiliano Marcondes,0
74,Chris Mepham,16
75,Kieffer Moore,14
76,Norberto Murara Neto,110
77,Dango Ouattara,56
78,Ben Pearson,0
79,Darren Randolph,0
80,Joe Rothwell,13
81,Antoine Semenyo,107
82,Marcos Senesi,102
83,Adam Smith,80
84,Dominic Solanke,175
85,Marcus Tavernier,89
86,Hamed Traorè,3
87,Mark Travers,19
88,Illia Zabarnyi,84
89,Kristoffer Ajer,68
90,Ellery Balcombe,0
91,Shandon Baptiste,19
92,Mads Bech Sørensen,0
93,Mads Bidstrup,0
94,Sergi Canós Tenés,0
95,Nathan Collins,84
96,Matthew Cox,0
97,Mikkel Damsgaard,45
98,Josh Dasilva,3
99,Halil Dervişoğlu,0
100,Mark Flekken,119
101,Charlie Goode,0
102,Rico Henry,13
103,Aaron Hickey,17
104,Vitaly Janelt,93
105,Mathias Jensen,98
106,Keane Lewis-Potter,73
107,Bryan Mbeumo,127
108,Ben Mee,39
109,Christian Nørgaard,74
110,Frank Onyeka,39
111,Ethan Pinnock,77
112,David Raya Martin,135
113,Mads Roerslev Rasmussen,75
114,Kevin Schade,33
115,Thomas Strakosha,4
116,Ivan Toney,57
117,Ryan Trevitt,0
118,Yoane Wissa,131
119,Yegor Yarmoliuk,33
120,Mathias Jorgensen,29
121,Simon Adingra,97
122,Steven Alzate,0
123,Yasin Ayari,0
124,Facundo Buonanotte,57
125,Moisés Caicedo Corozo,84
126,Aaron Connolly,0
127,Mahmoud Dahoud,14
128,Lewis Dunk,89
129,Julio Enciso,20
130,Pervis Estupiñán,57
131,Evan Ferguson,69
132,Billy Gilmour,61
133,Pascal Groß,153
134,João Pedro Junqueira de Jesus,104
135,Michał Karbownik,0
136,Kacper Kozłowski,0
137,Adam Lallana,30
138,Tariq Lamptey,31
139,Solly March,39
140,Tom McGill,0
141,James Milner,28
142,Kaoru Mitoma,74
143,Jakub Moder,21
144,Robert Sánchez,59
145,Jeremy Sarmiento Morante,0
146,Kjell Scherpen,0
147,Jason Steele,42
148,Deniz Undav,0
149,Jan Paul van Hecke,61
150,Joël Veltman,49
151,Bart Verbruggen,68
152,Adam Webster,26
153,Danny Welbeck,79
154,Andi Zeqiri,0
155,Enock Agyei,0
156,Ameen Al-Dakhil,19
157,Samuel Bastien,0
158,Manuel Benson Hedilazio,8
159,Jordan Beyer,30
160,Josh Brownhill,78
161,Darko Churlinov,0
162,Jack Cork,4
163,Dara Costelloe,0
164,Josh Cullen,65
165,CJ Egan-Riley,0
166,Hjalmar Ekdal,15
167,Lyle Foster,75
168,Denis Franchi,0
169,Jóhann Berg Gudmundsson,48
170,Luke McNally,0
171,Arijanet Muric,47
172,Dara O’Shea,69
173,Michael Obafemi,2
174,Bailey Peacock-Farrell,0
175,Connor Roberts,12
176,Jay Rodriguez,41
177,Charlie Taylor,47
178,Bobby Thomas,0
179,Scott Twine,0
180,Lawrence Vigouroux,0
181,Victor da Silva,60
182,Wout Weghorst,0
183,Anass Zaroury,4
184,Ethan Ampadu,0
185,Andrey Nascimento dos Santos,1
186,Kepa Arrizabalaga,0
187,Pierre-Emerick Aubameyang,0
188,César Azpilicueta,0
189,Abdul Rahman Baba,0
190,Benoît Badiashile,35
191,Marcus Bettinelli,-1
192,Armando Broja,35
193,Trevoh Chalobah,39
194,Ben Chilwell,24
195,Carney Chukwuemeka,16
