,full_name,total_points
0,A.Armstrong,54
1,A.Ayew,11
2,A.Doucouré,76
3,Aaronson,83
4,Abbott,1
5,Ablade,0
6,Adama,66
7,Adams,94
8,Adams,47
9,Adaramola,0
10,Adrián,0
11,Adu-Adjei,0
12,Aguerd,58
13,Ahamada,7
14,Ajer,29
15,Akanji,82
16,Aké,92
17,Albrighton,13
18,Alcaraz,55
19,Alexander-Arnold,156
20,Alisson,162
21,Allan,0
22,Almirón,158
23,Alonso,0
24,Alonso,0
25,Alzate,0
26,Amad,0
27,Amartey,51
28,Amo-Ameyaw,1
29,Ampadu,0
30,Anang,0
31,Andersen,80
32,Anderson,30
33,Andreas,123
34,Andrey Santos,0
35,André Gomes,0
36,Anthony,61
37,Antonio,84
38,Antony,82
39,Archer,6
40,Areola,7
41,Aribo,46
42,Arrizabalaga,118
43,Arter,0
44,Arthur,0
45,Ashby,0
46,Aubameyang,25
47,Augustinsson,2
48,Aurier,70
49,Austin,0
50,Awoniyi,100
51,Ayari,3
52,Ayling,59
53,Azpilicueta,45
54,Aït-Nouri,41
55,B.Williams,0
56,Badiashile,40
57,Badé,0
58,Bailey,100
59,Bailly,0
60,Bajcetic,22
61,Balcombe,0
62,Ballard,2
63,Balmer,0
64,Bamford,70
65,Bandeira,0
66,Baptiste,29
67,Barkley,0
68,Barnes,138
69,Bate,0
70,Bazunu,84
71,Bech,4
72,Bednarek,32
73,Begović,9
74,Bella-Kotchap,49
75,Bennett,0
76,Benrahma,106
77,Bentancur,71
78,Benteke,0
79,Bentley,6
80,Bergwijn,0
81,Bernardo,106
82,Bertrand,0
83,Bettinelli,0
84,Bevan,1
85,Biancone,2
86,Bidstrup,0
87,Billing,126
88,Bishop,0
89,Bissouma,27
90,Bogarde,0
91,Boly,37
92,Botman,129
93,Bowen,145
94,Branthwaite,0
95,Braybrooke,0
96,Bree,4
97,Broja,21
98,Brooks,5
99,Bruno Guimarães,107
100,Brunt,1
101,Bryan,0
102,Bryan,9
103,Buendía,117
104,Bueno,41
105,Buonanotte,26
106,Burn,129
107,Butland,0
108,Butler-Oyedeji,0
109,C.Doucouré,74
110,C.Robinson,0
111,Caballero,0
112,Cafú,1
113,Caicedo,79
114,Cairney,53
115,Caleta-Car,28
116,Calvert-Lewin,40
117,Campbell,5
118,Cancelo,73
119,Cannon,2
120,Canós,5
121,Carson,0
122,Carvalho,27
123,Casemiro,87
124,Casey,0
125,Cash,57
126,Castagne,114
127,Cavaleiro,0
128,Chalobah,49
129,Chalobah,1
130,Chamberlain,20
131,Chambers,13
132,Chambers,0
133,Charles,1
134,Chilokoa-Mullen,0
135,Chilwell,70
136,Chiquinho,0
137,Choudhury,0
138,Christie,64
139,Chukwuemeka,18
140,Clark,0
141,Clark,1
142,Clarke,0
143,Clyne,44
144,Coady,77
145,Colback,14
146,Coleman,63
147,Collins,49
148,Colwill,46
149,Cook,51
150,Cook,20
151,Cooper,31
152,Cornet,14
153,Coufal,58
154,Coutinho,32
155,Coventry,1
156,Cox,0
157,Cozier-Duberry,0
158,Craig,1
159,Crama,0
160,Cresswell,74
161,Cucurella,65
162,Cundle,0
163,Cunha,39
164,Cédric,10
165,D.D.Fofana,3
166,Dacosta Gonzalez,0
167,Daka,70
168,Dale Taylor,0
169,Dallas,0
170,Dalot,102
171,Damsgaard,33
172,Danilo,48
173,Danjuma,15
174,Darlow,0
175,Darwin,100
176,Dasilva,81
177,Davies,19
178,Davies,99
179,Davies,0
180,Davis,0
181,Dawson,75
182,De Bruyne,183
183,De Cordova-Reid,90
184,De Gea,161
185,Delap,0
186,Dele,2
187,Dembélé,6
188,Dendoncker,37
189,Dennis,0
190,Dennis,39
191,Dervişoğlu,4
192,Devine,0
193,Dewsbury-Hall,82
194,Diallo,19
195,Dias,80
196,Dibley-Dias,0
197,Diego Carlos,4
198,Diego Costa,33
199,Dier,96
200,Digne,50
201,Diogo Jota,80
202,Diop,79
203,Djenepo,27
204,Doak,2
205,Doherty,35
206,Douglas Luiz,142
207,Downes,27
208,Doyle,1
209,Drameh,1
210,Dräger,0
211,Dubravka,11
212,Duffy,4
213,Dummett,0
214,Dunk,112
215,Durán,11
216,Ebiowei,3
217,Ederson,121
218,Edouard,82
219,Edozie,23
220,El Ghazi,0
221,Elanga,23
222,Elliott,62
223,Elneny,6
224,Elyounoussi,62
225,Emerson,39
226,Emerson Royal,86
227,Enciso,57
228,Enzo,42
229,Eriksen,103
230,Estupiñán,128
231,Evans,20
232,Eze,159
233,Fabianski,127
234,Fabinho,70
235,Fabio Silva,0
236,Faes,78
237,Felipe,25
238,Ferguson,0
239,Ferguson,65
240,Fernandes,176
241,Fernández,0
242,Finnigan,0
243,Firmino,104
244,Firpo,30
245,Foden,142
246,Fornals,71
247,Forshaw,16
248,Forss,0
249,Forster,40
250,Francois,1
251,Fraser,11
252,Fraser,0
253,Fred,62
254,Fredericks,12
255,Freuler,54
256,Furlong,0
257,Fábio Vieira,40
258,G.Shelvey,0
259,Gabriel,146
260,Gakpo,90
261,Gallagher,66
262,Garnacho,39
263,Garner,25
264,Gayle,0
265,Gazzaniga,0
266,Gbamin,0
267,Gelhardt,20
268,Ghoddos,15
269,Gibbs-White,145
270,Gilchrist,0
271,Gillespie,0
272,Gilmour,21
273,Gnonto,55
274,Godfrey,18
275,Godo,0
276,Gomes,0
277,Gomez,68
278,Goode,0
279,Goodman,0
280,Gordon,68
