,full_name,total_points
0,David Ospina,19
1,Petr Cech,124
2,Damian Emiliano Martinez,0
3,Laurent Koscielny,100
4,Per Mertesacker,16
5,Gabriel Armando de Abreu,0
6,Héctor Bellerín,132
7,Kieran Gibbs,86
8,Carl Jenkinson,0
9,Nacho Monreal,130
10,Rob Holding,27
11,Shkodran Mustafi,109
12,Sead Kolasinac,108
13,Alexis Sánchez,152
14,Theo Walcott,62
15,Mesut Özil,112
16,Santiago Cazorla,0
17,Aaron Ramsey,130
18,Alex Oxlade-Chamberlain,94
19,Francis Coquelin,7
20,Alex Iwobi,89
21,Mohamed Elneny,22
22,Granit Xhaka,109
23,Jack Wilshere,46
24,Olivier Giroud,77
25,Danny Welbeck,70
26,Lucas Pérez,0
27,Alexandre Lacazette,138
28,Asmir Begovic,112
29,Artur Boruc,0
30,Adam Federici,0
31,Simon Francis,56
32,Steve Cook,83
33,Charlie Daniels,94
34,Adam Smith,56
35,Tyrone Mings,3
36,Bradley Smith,0
37,Nathan Aké,102
38,Harry Arter,27
39,Marc Pugh,32
40,Andrew Surman,82
41,Junior Stanislas,75
42,Dan Gosling,59
43,Max Gradel,0
44,Jordon Ibe,85
45,Lewis Cook,58
46,Ryan Fraser,97
47,Callum Wilson,102
48,Benik Afobe,24
49,Lys Mousset,36
50,Joshua King,110
51,Jermain Defoe,60
52,Niki Mäenpää,0
53,Mathew Ryan,146
54,Lewis Dunk,97
55,Shane Duffy,100
56,Uwe Hünemeier,1
57,Bruno Saltor Grau,84
58,Gaëtan Bong,63
59,Liam Rosenior,3
60,Connor Goldson,6
61,Anthony Knockaert,88
62,Dale Stephens,87
63,Beram Kayal,25
64,Steve Sidwell,0
65,Solomon March,74
66,Jiri Skalak,0
67,Oliver Norwood,0
68,Jamie Murphy,6
69,Pascal Groß,164
70,Glenn Murray,111
71,Tomer Hemed,43
72,Sam Baldock,2
73,Tom Heaton,8
74,Paul Robinson,0
75,Matthew Lowton,89
76,Ben Mee,90
77,Stephen Ward,102
78,James Tarkowski,101
79,Kevin Long,57
80,Charlie Taylor,23
81,Scott Arfield,56
82,Dean Marney,0
83,Johann Berg Gudmundsson,117
84,Steven Defour,62
85,Jeff Hendrick,85
86,Robbie Brady,56
87,Ashley Westwood,35
88,Jonathan Walters,3
89,Jack Cork,100
90,Sam Vokes,63
91,Andre Gray,79
92,Ashley Barnes,92
93,Thibaut Courtois,136
94,Eduardo dos Reis Carvalho,0
95,Willy Caballero,11
96,César Azpilicueta,175
97,Gary Cahill,74
98,Kurt Zouma,87
99,Marcos Alonso,165
100,David Luiz Moreira Marinho,32
101,Victor Moses,131
102,Antonio Rüdiger,115
103,Eden Hazard,173
104,Cesc Fàbregas,89
105,Willian Borges Da Silva,130
106,Nemanja Matic,91
107,Ruben Loftus-Cheek,77
108,Pedro Rodríguez Ledesma,81
109,Robert Kenedy Nunes do Nascimento,51
110,N’Golo Kanté,101
111,Nathaniel Chalobah,13
112,Michy Batshuayi,25
113,Diego Da Silva Costa,0
114,Wayne Hennessey,99
115,Julian Speroni,36
116,James Tomkins,99
117,Scott Dann,32
118,Joel Ward,41
119,Martin Kelly,34
120,Damien Delaney,1
121,Pape Souaré,1
122,Jeffrey Schlupp,50
123,Patrick van Aanholt,95
124,Jason Puncheon,11
125,Wilfried Zaha,136
126,James McArthur,101
127,Chung-yong Lee,8
128,Yohan Cabaye,73
129,Bakary Sako,36
130,Andros Townsend,121
131,Luka Milivojevic,144
132,Connor Wickham,0
133,Christian Benteke,84
134,Jordan Pickford,145
135,Joel Robles,0
136,Maarten Stekelenburg,0
137,Leighton Baines,82
138,Seamus Coleman,39
139,Phil Jagielka,60
140,Matthew Pennington,0
141,Ramiro Funes Mori,3
142,Ashley Williams,56
143,Mason Holgate,37
144,Jonjoe Kenny,50
145,Michael Keane,81
146,Yannick Bolasie,35
147,Kevin Mirallas,5
148,Ross Barkley,3
149,James McCarthy,6
150,Gareth Barry,56
151,Muhamed Besic,2
152,Aaron Lennon,65
153,Morgan Schneiderlin,52
154,Idrissa Gueye,87
155,Tom Davies,66
156,Ademola Lookman,10
157,Davy Klaassen,7
158,Dominic Calvert-Lewin,88
159,Sandro Ramírez,10
160,Wayne Rooney,113
161,Joel Coleman,0
162,Jonas Lössl,135
163,Christopher Schindler,102
164,Chris Löwe,60
165,Tommy Smith,50
166,Michael Hefele,1
167,Martin Cranie,2
168,Jon Gorenc Stankovic,0
169,Mark Hudson,0
170,Mathias Jorgensen,107
171,Aaron Mooy,113
172,Rajiv van La Parra,74
173,Jonathan Hogg,53
174,Philip Billing,22
175,Joe Lolley,11
176,Jack Payne,0
177,Dean Whitehead,4
178,Harry Bunn,0
179,Sean Scannell,0
180,Elias Kachunga,46
181,Tom Ince,82
182,Kasey Palmer,4
183,Danny Williams,28
184,Nahki Wells,9
185,Collin Quaner,44
186,Laurent Depoitre,94
187,Steve Mounie,92
188,Kasper Schmeichel,123
189,Ben Hamer,9
190,Wes Morgan,61
191,Christian Fuchs,57
192,Danny Simpson,55
193,Robert Huth,0
194,Yohan Benalouane,1
195,Benjamin Chilwell,65
196,Molla Wagué,19
197,Harry Maguire,117
198,Riyad Mahrez,195
199,Marc Albrighton,107
200,Andy King,51
201,Daniel Drinkwater,24
202,Demarai Gray,80
203,Daniel Amartey,13
204,Nampalys Mendy,0
205,Wilfred Ndidi,78
206,Ahmed Musa,0
207,Vicente Iborra,58
208,Jamie Vardy,183
209,Leonardo Ulloa,20
210,Shinji Okazaki,76
211,Islam Slimani,25
212,Simon Mignolet,67
213,Loris Karius,88
214,Dejan Lovren,110
215,Alberto Moreno,52
216,Nathaniel Clyne,7
217,Joseph Gomez,86
218,Joel Matip,81
219,Ragnar Klavan,78
220,Mamadou Sakho,81
221,James Milner,77
222,Trent Alexander-Arnold,83
223,Leiva Lucas,0
224,Jordan Henderson,75
225,Philippe Coutinho,103
226,Emre Can,92
227,Adam Lallana,13
228,Oluwaseyi Ojo,0
229,Sadio Mané,147
230,Marko Grujic,3
231,Georginio Wijnaldum,85
232,Ben Woodburn,1
233,Mohamed Salah,303
234,Roberto Firmino,181
235,Daniel Sturridge,32
236,Danny Ings,18
237,Divock Origi,1
238,Dominic Solanke,38
239,Ederson Santana de Moraes,158
240,Claudio Bravo,10
241,John Stones,70
242,Aleksandar Kolarov,0
243,Vincent Kompany,60
244,Nicolás Otamendi,156
245,Fabian Delph,55
246,Raheem Sterling,229
247,David Silva,169
248,Gnegneri Yaya Touré,16
249,Fernando Luiz Rosa,120
250,Fernando Francisco Reges,0
251,Kevin De Bruyne,209
252,Ilkay Gündogan,82
253,Manuel Agudo Durán,0
254,Leroy Sané,179
255,Bernardo Mota Veiga de Carvalho e Silva,112
256,Sergio Agüero,169
257,Kelechi Iheanacho,54
258,Gabriel Fernando de Jesus,126
259,David De Gea,172
260,Sergio Romero,7
261,Joel Dinis Castro Pereira,0
262,Chris Smalling,123
263,Phil Jones,116
264,Luke Shaw,48
265,Marcos Rojo,23
266,Antonio Valencia,146
267,Matteo Darmian,27
268,Timothy Fosu-Mensah,39
269,Daley Blind,28
270,Eric Bailly,55
271,Axel Tuanzebe,1
272,Victor Lindelöf,47
273,Juan Mata,100
274,Marouane Fellaini,47
275,Michael Carrick,4
276,Ashley Young,98
277,Ander Herrera,44
278,Jesse Lingard,128
279,Anthony Martial,125
280,Henrikh Mkhitaryan,107
281,Paul Pogba,138
282,Scott McTominay,21
283,Marcus Rashford,104
284,Romelu Lukaku,162
285,Robert Elliot,57
286,Karl Darlow,33
287,DeAndre Yedlin,88
288,Ciaran Clark,64
289,Jamaal Lascelles,116
290,Paul Dummett,52
291,Grant Hanley,0
292,Jesús Gámez Duarte,9
293,Florian Lejeune,66
294,Matt Ritchie,116
295,Jonjo Shelvey,73
296,Yoan Gouffran,0
297,Mohamed Diamé,70
298,Jack Colback,0
299,Christian Atsu,78
300,Dwight Gayle,94
301,Ayoze Pérez,124
302,Aleksandar Mitrovic,10
303,Daryl Murphy,0
304,Alex McCarthy,52
305,Fraser Forster,73
306,Ryan Bertrand,103
307,Maya Yoshida,76
308,Matt Targett,2
309,Cédric Soares,85
310,Virgil van Dijk,78
311,Jérémy Pied,7
312,Jack Stephens,58
313,Sam McQueen,14
314,Jan Bednarek,22
315,Steven Davis,71
316,James Ward-Prowse,84
317,Dusan Tadic,122
318,Jordy Clasie,0
319,Oriol Romeu Vidal,68
320,Pierre-Emile Højbjerg,39
321,Sofiane Boufal,55
322,Joshua Sims,8
323,Nathan Redmond,72
324,Shane Long,53
325,Charlie Austin,72
326,Manolo Gabbiadini,66
327,Jack Butland,125
328,Lee Grant,5
329,Ryan Shawcross,67
330,Geoff Cameron,33
331,Erik Pieters,71
332,Marc Muniesa,0
333,Phil Bardsley,33
334,Glen Johnson,5
335,Josh Tymon,0
336,Joe Allen,109
337,Charlie Adam,10
338,Glenn Whelan,0
339,Marko Arnautovic,144
340,Ibrahim Afellay,6
341,Xherdan Shaqiri,155
342,Giannelli Imbula,0
343,Bojan Krkic Perez,2
344,Ramadan Sobhi,51
345,Darren Fletcher,67
346,Peter Crouch,73
347,Mame Biram Diouf,99
348,Saido Berahino,20
349,Lukasz Fabianski,157
350,Kristoffer Nordfeldt,0
351,Kyle Naughton,101
352,Angel Rangel,4
353,Federico Fernández,85
354,Stephen Kingsley,0
355,Mike van der Hoorn,74
356,Alfie Mawson,112
357,Martin Olsson,89
358,Gylfi Sigurdsson,96
359,Wayne Routledge,17
360,Leon Britton,10
361,Jay Fulton,1
362,Sung-yueng Ki,73
363,Jefferson Montero,0
364,Leroy Fer,41
365,Nathan Dyer,41
366,Tom Carroll,85
367,Modou Barrow,0
368,Luciano Narsingh,30
369,Roque Mesa,18
370,Fernando Llorente,22
371,Oliver McBurnie,16
372,Jordan Ayew,108
373,Tammy Abraham,86
374,Hugo Lloris,144
375,Michel Vorm,3
376,Toby Alderweireld,43
377,Danny Rose,24
378,Kyle Walker,138
379,Jan Vertonghen,138
380,Ben Davies,143
381,Kieran Trippier,113
382,Kevin Wimmer,19
383,Eric Dier,85
384,Mousa Dembélé,52
385,Erik Lamela,55
386,Christian Eriksen,199
387,Bamidele Alli,175
388,Victor Wanyama,32
389,Heung-Min Son,178
390,Harry Winks,31
391,Georges-Kévin Nkoudou,11
392,Moussa Sissoko,58
393,Harry Kane,217
394,Vincent Janssen,1
395,Costel Pantilimon,0
396,Heurelho Gomes,64
397,Younes Kaboul,7
398,Craig Cathcart,14
399,Sebastian Prödl,42
400,José Holebas,72
401,Miguel Britos,22
402,Christian Kabasele,68
403,Daryl Janmaat,59
404,Adrian Mariappa,58
405,Brandon Mason,0
406,Francisco Femenía Far,65
407,Tom Cleverley,58
408,Etienne Capoue,48
409,Valon Behrami,0
410,Steven Berghuis,0
411,Nordin Amrabat,6
412,Isaac Success,0
413,Abdoulaye Doucouré,136
414,Roberto Pereyra,81
415,Will Hughes,53
416,Troy Deeney,73
417,Stefano Okaka,24
418,Mauro Zárate,0
419,Boaz Myhill,1
420,Ben Foster,123
421,Allan-Roméo Nyom,70
422,Jonny Evans,78
423,Craig Dawson,87
