,full_name,total_points
0,Mesut Özil,0
1,Sokratis Papastathopoulos,0
2,David Luiz Moreira Marinho,41
3,Pierre-Emerick Aubameyang,131
4,Cédric Soares,28
5,Alexandre Lacazette,129
6,Shkodran Mustafi,3
7,Bernd Leno,131
8,Granit Xhaka,70
9,Pablo Marí,34
10,Héctor Bellerín,94
11,Emiliano Martínez,186
12,Calum Chambers,36
13,Sead Kolasinac,2
14,Ainsley Maitland-Niles,68
15,Rob Holding,105
16,Kieran Tierney,96
17,Nicolas Pépé,114
18,Lucas Torreira,0
19,Joseph Willock,79
20,Reiss Nelson,2
21,Edward Nketiah,36
22,Emile Smith Rowe,74
23,Bukayo Saka,114
24,Matteo Guendouzi,0
25,Gabriel Teodoro Martinelli Silva,36
26,William Saliba,0
27,Tom Heaton,0
28,Ahmed El Mohamady,33
29,Henri Lansbury,0
30,Neil Taylor,-1
31,Jed Steer,0
32,Conor Hourihane,20
33,José Ignacio Peleteiro Romallo,0
34,Ørjan Nyland,0
35,Bjorn Engels,0
36,Jack Grealish,135
37,John McGinn,114
38,Kortney Hause,32
39,Mahmoud Ahmed Ibrahim Hassan,56
40,Tyrone Mings,128
41,Matt Targett,138
42,James Bree,0
43,Marvelous Nakamba,27
44,Anwar El Ghazi,111
45,Ezri Konsa Ngoyo,119
46,Frédéric Guilbert,0
47,Wesley Moraes,3
48,Mbwana Samatta,0
49,Keinan Davis,23
50,Indiana Vassilev,0
51,Douglas Luiz Soares de Paulo,72
52,Glenn Murray,0
53,Adam Lallana,58
54,Dale Stephens,8
55,David Button,2
56,Pascal Groß,116
57,Shane Duffy,0
58,Davy Pröpper,9
59,Aaron Mooy,0
60,Dan Burn,64
61,Lewis Dunk,130
62,Martín Montoya,0
63,Florin Andone,0
64,Solomon March,69
65,Adam Webster,85
66,Joël Veltman,96
67,Neal Maupay,105
68,Leandro Trossard,132
69,Mathew Ryan,37
70,Alireza Jahanbakhsh,24
71,José Izquierdo,1
72,Matthew Clarke,0
73,Ben White,104
74,Bernardo Fernandes da Silva Junior,5
75,Yves Bissouma,77
76,Tariq Lamptey,35
77,Aaron Connolly,38
78,Steven Alzate,35
79,Alexis Mac Allister,48
80,James Tarkowski,109
81,Phil Bardsley,2
82,Erik Pieters,50
83,Jack Cork,33
84,Kevin Long,14
85,Jay Rodriguez,54
86,Ashley Barnes,52
87,Ben Mee,102
88,Ashley Westwood,112
89,Johann Berg Gudmundsson,50
90,Chris Wood,138
91,Matthew Lowton,103
92,Matej Vydra,62
93,Ben Gibson,0
94,Robbie Brady,44
95,Nick Pope,144
96,Charlie Taylor,83
97,Josh Brownhill,74
98,Bailey Peacock-Farrell,3
99,Dwight McNeil,113
100,Willy Caballero,1
101,César Azpilicueta,113
102,Olivier Giroud,47
103,Marcos Alonso,57
104,Jorge Luiz Frello Filho,114
105,Ross Barkley,76
106,Mateo Kovacic,54
107,Michy Batshuayi,41
108,Antonio Rüdiger,93
109,Kurt Zouma,108
110,Emerson Palmieri dos Santos,7
111,Kepa Arrizabalaga,26
112,N’Golo Kanté,62
113,Hakim Ziyech,70
114,Ruben Loftus-Cheek,66
115,Andreas Christensen,61
116,Timo Werner,128
117,Tammy Abraham,69
118,Christian Pulisic,82
119,Mason Mount,147
120,Fikayo Tomori,0
121,Callum Hudson-Odoi,59
122,Reece James,112
123,Billy Gilmour,8
124,Gary Cahill,53
125,Wayne Hennessey,0
126,Mamadou Sakho,4
127,Vicente Guaita,124
128,James Tomkins,18
129,James McArthur,45
130,James McCarthy,26
131,Christian Benteke,106
132,Cheikhou Kouyaté,82
133,Joel Ward,66
134,Martin Kelly,1
135,Connor Wickham,0
136,Andros Townsend,94
137,Luka Milivojevic,63
138,Patrick van Aanholt,54
139,Jordan Ayew,70
140,Wilfried Zaha,136
141,Jeffrey Schlupp,65
142,Max Meyer,0
143,Jairo Riedewald,64
144,Nathan Ferguson,0
145,Tyrick Mitchell,58
146,Brandon Pierrick,0
147,Theo Walcott,76
148,Fabian Delph,8
149,Gylfi Sigurdsson,122
