,full_name,total_points
0,Bernd Leno,106
1,Héctor Bellerín,60
2,Rob Holding,24
3,Shkodran Mustafi,80
4,Konstantinos Mavropanos,3
5,Stephan Lichtsteiner,14
6,Sokratis Papastathopoulos,64
7,Mesut Özil,89
8,Alex Iwobi,99
9,Mohamed Elneny,10
10,Granit Xhaka,90
11,Henrikh Mkhitaryan,98
12,Reiss Nelson,0
13,Ainsley Maitland-Niles,34
14,Danny Welbeck,19
15,Alexandre Lacazette,166
16,Laurent Koscielny,62
17,Nacho Monreal,77
18,Sead Kolasinac,81
19,Aaron Ramsey,91
20,Pierre-Emerick Aubameyang,205
21,Lucas Torreira,78
22,Matteo Guendouzi,47
23,Asmir Begovic,63
24,Artur Boruc,46
25,Simon Francis,40
26,Steve Cook,85
27,Charlie Daniels,44
28,Adam Smith,70
29,Tyrone Mings,5
30,Nathan Aké,120
31,Jack Simpson,10
32,Harry Arter,48
33,Marc Pugh,0
34,Andrew Surman,36
35,Junior Stanislas,56
36,Dan Gosling,54
37,Jordon Ibe,33
38,Lewis Cook,22
39,Ryan Fraser,181
40,Emerson Hyndman,1
41,David Brooks,123
42,Callum Wilson,168
43,Lys Mousset,28
44,Joshua King,141
45,Jermain Defoe,4
46,Diego Rico,8
47,Jefferson Lerma,75
48,Mathew Ryan,104
49,Lewis Dunk,91
50,Shane Duffy,115
51,Bruno Saltor Grau,46
52,Gaëtan Bong,48
53,Markus Suttner,0
54,Ezequiel Schelotto,0
55,Leon Balogun,15
56,Anthony Knockaert,74
57,Dale Stephens,65
58,Beram Kayal,36
59,Solomon March,94
60,Pascal Groß,80
61,Davy Pröpper,72
62,José Heriberto Izquierdo Mena,31
63,Glenn Murray,129
64,Tomer Hemed,0
65,Sam Baldock,0
66,Jürgen Locadia,52
67,Florin Andone,38
68,David Button,15
69,Jason Steele,0
70,Bernardo Fernandes da Silva Junior,39
71,Yves Bissouma,43
72,Alireza Jahanbakhsh,33
73,Tom Heaton,58
74,Nick Pope,0
75,Matthew Lowton,34
76,Ben Mee,81
77,Stephen Ward,7
78,James Tarkowski,97
79,Kevin Long,16
80,Charlie Taylor,82
81,Phil Bardsley,33
82,Johann Berg Gudmundsson,92
83,Steven Defour,10
84,Jeff Hendrick,73
85,Robbie Brady,20
86,Ashley Westwood,111
87,Jonathan Walters,0
88,Jack Cork,87
89,Aaron Lennon,41
90,Sam Vokes,48
91,Ashley Barnes,122
92,Nahki Wells,0
93,Chris Wood,131
94,Anders Lindegaard,0
95,Joe Hart,69
96,Ben Gibson,6
97,Matej Vydra,21
98,Neil Etheridge,154
99,Alex Smithies,0
100,Sean Morrison,97
101,Sol Bamba,95
102,Bruno Ecuele Manga,97
103,Matthew Connolly,0
104,Joe Bennett,77
105,Lee Peltier,43
106,Ashley Darel Jazz Richards,2
107,Greg Halford,0
108,Joe Ralls,45
109,David Junior Hoilett,82
110,Nathaniel Mendez-Laing,63
111,Callum Paterson,80
112,Aron Gunnarsson,65
113,Anthony Pilkington,0
114,Loïc Damour,2
115,Danny Ward,22
116,Josh Murphy,76
117,Kenneth Zohore,33
118,Omar Bogle,0
119,Gary Madine,5
120,Bobby Reid,80
121,Greg Cunninghamm,9
122,Thibaut Courtois,0
123,Willy Caballero,13
124,César Azpilicueta,158
125,Gary Cahill,2
126,Marcos Alonso,161
127,David Luiz Moreira Marinho,164
128,Victor Moses,2
129,Antonio Rüdiger,116
130,Andreas Christensen,22
131,Davide Zappacosta,9
132,Emerson Palmieri dos Santos,22
133,Eden Hazard,238
134,Cesc Fàbregas,6
135,Willian Borges Da Silva,108
136,Pedro Rodríguez Ledesma,112
137,Ross Barkley,79
138,Daniel Drinkwater,0
139,Tiemoué Bakayoko,0
140,N’Golo Kanté,116
141,Ethan Ampadu,0
142,Callum Hudson-Odoi,18
143,Ruben Loftus-Cheek,79
144,Olivier Giroud,55
145,Álvaro Morata,46
146,Jorge Luiz Frello Filho,96
147,Tammy Abraham,0
148,Wayne Hennessey,67
149,Julian Speroni,1
150,Vicente Guaita,81
151,James Tomkins,86
152,Scott Dann,23
153,Martin Kelly,26
154,Jeffrey Schlupp,91
155,Patrick van Aanholt,140
156,Mamadou Sakho,88
157,Jairo Riedewald,0
158,Aaron Wan-Bissaka,120
159,Jason Puncheon,15
160,James McArthur,121
161,Bakary Sako,4
162,Andros Townsend,135
163,Luka Milivojevic,166
164,Wilfried Zaha,143
165,Christian Benteke,33
166,Alexander Sørloth,12
167,Cheikhou Kouyaté,67
168,Joel Ward,13
169,Jaroslaw Jach,0
170,Pape Souaré,1
171,Connor Wickham,9
172,Sullay Kaikai,0
173,Max Meyer,60
174,Jordan Pickford,161
175,Maarten Stekelenburg,0
176,Leighton Baines,7
177,Seamus Coleman,125
178,Phil Jagielka,22
179,Ashley Williams,0
180,Mason Holgate,5
181,Jonjoe Kenny,19
182,Michael Keane,129
183,Cuco Martina,0
184,Theo Walcott,101
185,Yannick Bolasie,0
186,James McCarthy,1
187,Morgan Schneiderlin,28
188,Idrissa Gueye,78
189,Tom Davies,26
190,Ademola Lookman,34
191,Davy Klaassen,0
192,Gylfi Sigurdsson,182
193,Nikola Vlasic,0
194,Beni Baningime,0
195,Dominic Calvert-Lewin,92
196,Oumar Niasse,30
197,Cenk Tosun,56
198,Richarlison de Andrade,153
199,Kevin Mirallas,0
200,Sandro Ramírez,0
201,Lucas Digne,158
202,Calum Chambers,60
203,Marcus Bettinelli,15
204,Tim Ream,50
205,Denis Odoi,44
206,Tom Cairney,71
207,Kevin McDonald,17
208,Ryan Sessegnon,94
209,Stefan Johansen,11
210,Floyd Ayité,24
211,Neeskens Kebano,7
212,Rui Pedro da Rocha Fonte,0
213,Aboubakar Kamara,28
214,Maxime Le Marchand,38
215,Jean Michael Seri,72
216,Cyrus Christie,42
217,Fabricio Agosto Ramírez,8
218,André Schürrle,75
219,Aleksandar Mitrovic,134
220,Alfie Mawson,19
221,Ben Hamer,9
222,Jonas Lössl,99
223,Christopher Schindler,76
224,Chris Löwe,49
225,Tommy Smith,9
226,Mathias Jorgensen,67
227,Scott Malone,0
228,Florent Hadergjonaj,50
229,Terence Kongolo,60
230,Aaron Mooy,76
231,Rajiv van La Parra,10
232,Jonathan Hogg,54
233,Philip Billing,63
234,Tom Ince,0
235,Danny Williams,6
236,Abdelhamid Sabiri,2
237,Alex Pritchard,69
