,full_name,total_points
0,David Raya Martín,142
1,Kepa Arrizabalaga Revuelta,106
2,Karl Hein,0
3,Tommy Setford,0
4,Gabriel dos Santos Magalhães,117
5,William Saliba,130
6,Riccardo Calafiori,39
7,Jurriën Timber,114
8,Jakub Kiwior,43
9,Myles Lewis-Skelly,37
10,Benjamin White,50
11,Oleksandr Zinchenko,40
12,Brayden Clarke,0
13,Maldini Kacurri,0
14,Josh Nichols,0
15,Bukayo Saka,127
16,Martin Ødegaard,116
17,Noni Madueke,120
18,Gabriel Martinelli Silva,125
19,Leandro Trossard,152
20,Declan Rice,127
21,Mikel Merino Zazón,92
22,Fábio Ferreira Vieira,0
23,Christian Nørgaard,107
24,Ethan Nwaneri,66
25,Martín Zubimendi Ibáñez,0
26,Reiss Nelson,27
27,Ismeal Kabia,0
28,Albert Sambi Lokonga,0
29,Kai Havertz,97
30,Gabriel Fernando de Jesus,42
31,Emiliano Martínez Romero,111
32,Marco Bizot,0
33,Joe Gauci,0
34,Filip Marschall,0
35,Matty Cash,76
36,Lucas Digne,89
37,Ezri Konsa Ngoyo,103
38,Ian Maatsen,57
39,Tyrone Mings,47
40,Pau Torres,55
41,Andrés García,8
42,Álex Moreno Lopera,34
43,Lamare Bogarde,6
44,Lino da Cruz Sousa,0
45,Yasin Özcan,0
46,Morgan Rogers,161
47,Youri Tielemans,121
48,Leon Bailey,47
49,Emiliano Buendía Stati,11
50,Samuel Iling-Junior,0
51,Jacob Ramsey,66
52,Donyell Malen,34
53,John McGinn,78
54,Ross Barkley,44
55,Enzo Barrenechea,0
56,Lewis Dobbin,0
57,Boubacar Kamara,57
58,Amadou Onana,65
59,Ben Broggio,0
60,Leander Dendoncker,0
61,Jamaldeen Jimoh-Aloba,0
62,Kadan Young,0
63,Ollie Watkins,186
64,Zépiqueno Redmond,0
65,James Trafford,0
66,Max Weiß,0
67,Etienne Green,0
68,Václav Hladký,0
69,Connor Roberts,0
70,Kyle Walker,13
71,Hannes Delcroix,0
72,Owen Dodgson,0
73,Hjalmar Ekdal,0
74,Maxime Estève,0
75,Quilindschy Hartman,0
76,Bashir Humphreys,0
77,Jordan Beyer,0
78,Lucas Pires Silva,0
79,Shurandy Sambo,0
80,Oliver Sonne,0
81,Axel Tuanzebe,27
82,Joe Worrall,0
83,Jaidon Anthony,0
84,Manuel Benson Hedilazio,0
85,Jacob Bruun Larsen,0
86,Enock Agyei,0
87,Darko Churlinov,0
88,Josh Cullen,0
89,Marcus Edwards,0
90,Hannibal Mejbri,0
91,Luca Koleosho,0
92,Josh Laurent,0
93,Loum Tchaouna,0
94,Aaron Ramsey,0
95,Oluwaseun Adewumi,0
96,Jaydon Banel,0
97,Mike Trésor Ndayishimiye,0
98,Zian Flemming,0
99,Zeki Amdouni,0
100,Lyle Foster,0
101,Ashley Barnes,0
102,Michael Obafemi,0
103,Norberto Murara Neto,7
104,Đorđe Petrović,0
105,Will Dennis,0
106,Callan McKenna,0
107,Alex Paulsen,0
108,Illia Zabarnyi,94
109,Marcos Senesi Barón,31
110,Adam Smith,57
111,Adrien Truffert,0
112,Matai Akinmboni,0
113,Owen Bevan,0
114,James Hill,17
115,Julián Araujo Zúñiga,12
116,Chris Mepham,0
117,Julio Soler Barreto,3
118,Justin Kluivert,158
119,Antoine Semenyo,165
120,Dango Ouattara,111
121,Marcus Tavernier,87
122,Tyler Adams,58
123,David Brooks,52
124,Ryan Christie,76
125,Lewis Cook,82
126,Philip Billing,10
127,Alex Scott,26
128,Luis Sinisterra Lucumí,23
129,Romain Faivre,0
130,Hamed Traorè,0
131,Dominic Sadi,0
132,Zain Silcott-Duberry,1
133,Ben Winterburn,4
134,Francisco Evanilson de Lima Barbosa,128
135,Enes Ünal,32
136,Daniel Adu-Adjei,0
137,Eli Junior Kroupi,0
138,Caoimhín Kelleher,45
139,Ellery Balcombe,0
140,Matthew Cox,0
141,Julian Eyestone,0
142,Hákon Rafn Valdimarsson,2
143,Nathan Collins,127
144,Keane Lewis-Potter,94
145,Kristoffer Ajer,39
146,Rico Henry,4
147,Michael Kayode,27
148,Ethan Pinnock,47
149,Mads Roerslev Rasmussen,36
150,Sepp van den Berg,62
151,Benjamin Arthur,0
152,Benjamin Fredrick,0
153,Aaron Hickey,0
154,Kim Ji-soo,3
155,Jayden Meghoma,1
156,Kevin Schade,149
157,Mikkel Damsgaard,131
158,Antoni Milambo,0
159,Fábio Freitas Gouveia Carvalho,35
160,Jordan Henderson,0
161,Vitaly Janelt,73
162,Mathias Jensen,38
163,Gustavo Nunes Fernandes Gomes,3
164,Frank Onyeka,2
165,Yehor Yarmoliuk,43
166,Romelle Donovan,0
167,Yunus Emre Konak,10
168,Paris Maghoma,8
169,Myles Peart-Harris,0
170,Ryan Trevitt,1
171,Yoane Wissa,185
172,Igor Thiago Nascimento Rodrigues,9
173,Iwan Morgan,0
174,Jason Steele,9
175,Bart Verbruggen,103
176,Tom McGill,0
177,Carl Rushworth,0
178,Kjell Scherpen,0
179,Olivier Boscagli,0
180,Diego Coppola,0
181,Maxim De Cuyper,0
182,Lewis Dunk,44
183,Pervis Estupiñán Tenorio,63
184,Ferdi Kadıoğlu,19
185,Igor Julio dos Santos de Paulo,18
186,Tariq Lamptey,42
187,Jan Paul van Hecke,87
188,Joël Veltman,59
189,Adam Webster,39
190,Eiran Cashin,1
191,Jacob Slater,0
192,Charlie Tasker,0
193,Mitoma Kaoru,145
194,Georginio Rutter,95
195,Solly March,7
196,Yankuba Minteh,102
197,Julio Enciso Espínola,59
198,Brajan Gruda,45
199,Jack Hinshelwood,89
200,Matt O'Riley,50
201,Abdallah Sima,0
202,Yasin Ayari,74
203,Carlos Baleba,87
204,Facundo Buonanotte,75
205,Diego Gómez Amarilla,30
206,James Milner,6
207,Jeremy Sarmiento Morante,1
208,Tom Watson,0
209,Mats Wieffer,52
210,Malick Yalcouyé,0
211,Joe Knight,0
212,Adrian Mazilu,0
213,Andrew Moran,0
214,Danny Welbeck,125
215,Evan Ferguson,28
216,Stefanos Tzimas,0
217,Charalampos Kostoulas,0
218,Robert Lynch Sánchez,126
219,Filip Jörgensen,18
220,Mike Penders,0
221,Gabriel Słonina,0
222,Marc Cucurella Saseta,133
223,Reece James,54
224,Trevoh Chalobah,93
225,Levi Samuels Colwill,109
226,Malo Gusto,60
227,Benoît Badiashile Mukinayi,7
228,Wesley Fofana,26
229,Mamadou Sarr,0
230,Tosin Adarabioyo,71
231,Josh Acheampong,4
232,Aarón Anselmino,0
233,Cole Palmer,214
234,Pedro Lomba Neto,104
235,Enzo Fernández,135
236,Estêvão Almeida de Oliveira Gonçalves,0
237,Jamie Bynoe-Gittens,0
238,Christopher Nkunku,60
239,Moisés Caicedo Corozo,98
240,Kiernan Dewsbury-Hall,18
241,Tyrique George,17
242,Roméo Lavia,26
243,Mykhailo Mudryk,7
244,Andrey Nascimento dos Santos,0
245,Dário Luís Essugo,0
246,Kendry Páez Andrade,0
247,João Pedro Junqueira de Jesus,126
248,Liam Delap,132
249,Nicolas Jackson,121
250,Marc Guiu Paz,3
251,Dean Henderson,135
252,Walter Benítez,0
253,Remi Matthews,0
254,Daniel Muñoz Mejía,142
255,Maxence Lacroix,114
256,Tyrick Mitchell,123
257,Borna Sosa,0
258,Marc Guéhi,116
259,Chris Richards,68
260,Chadi Riad Dnanou,1
261,Nathaniel Clyne,18
262,Rob Holding,0
263,Caleb Kporha,2
264,Eberechi Eze,148
265,Ismaïla Sarr,149
266,Cheick Doucouré,19
267,Romain Esse,22
268,Will Hughes,67
269,Daichi Kamada,45
270,Jefferson Lerma Solís,58
271,Adam Wharton,42
272,Asher Agbinone,2
273,Naouirou Ahamada,0
274,Justin Devenny,34
275,Malcolm Ebiowei,0
276,Jesurun Rak-Sakyi,0
277,Matheus França de Oliveira,9
278,David Ozoh,0
279,Kaden Rodney,0
280,Franco Umeh-Chibueze,0
281,Jean-Philippe Mateta,150
282,Eddie Nketiah,53
283,Odsonne Édouard,7
284,Zach Marsh,0
285,Jordan Pickford,158
286,Mark Travers,19
287,Harry Tyrer,0
288,Jarrad Branthwaite,88
289,James Tarkowski,105
290,Vitalii Mykolenko,121
291,Jake O'Brien,65
292,Séamus Coleman,5
293,Michael Keane,48
294,Nathan Patterson,14
295,Roman Dixon,0
296,Reece Welch,0
297,Iliman Ndiaye,114
298,Dwight McNeil,93
299,Carlos Alcaraz Durán,44
300,Idrissa Gana Gueye,89
301,James Garner,42
302,Tim Iroegbunam,22
303,Harrison Armstrong,2
304,Callum Bates,0
305,Coby Ebere,0
306,Isaac Heath,0
307,Jenson Metcalfe,0
308,Thierno Barry,0
309,Norberto Bercique Gomes Betuncal,87
