,full_name,total_points
0,Bernd Leno,10
1,Rúnar Alex Rúnarsson,0
2,Willian Borges Da Silva,0
3,Pierre-Emerick Aubameyang,44
4,Cédric Soares,48
5,Alexandre Lacazette,90
6,Granit Xhaka,60
7,Pablo Marí,1
8,Héctor Bellerín,0
9,Calum Chambers,42
10,Sead Kolasinac,0
11,Mohamed Naser El Sayed Elneny,27
12,Ainsley Maitland-Niles,12
13,Rob Holding,29
14,Thomas Partey,71
15,Kieran Tierney,106
16,Nicolas Pépé,45
17,Lucas Torreira,0
18,Joseph Willock,79
19,Edward Nketiah,55
20,Emile Smith Rowe,125
21,Bukayo Saka,179
22,Gabriel Magalhães,146
23,Konstantinos Mavropanos,0
24,Mattéo Guendouzi,0
25,Gabriel Teodoro Martinelli Silva,110
26,William Saliba,0
27,Jed Steer,1
28,Conor Hourihane,0
29,Emiliano Martínez,129
30,Björn Engels,0
31,Bertrand Traoré,13
32,Jack Grealish,86
33,Morgan Sanson,13
34,John McGinn,110
35,Kortney Hause,20
36,Mahmoud Ahmed Ibrahim Hassan,1
37,Tyrone Mings,118
38,Matt Targett,101
39,Ollie Watkins,131
40,Marvelous Nakamba,22
41,Anwar El Ghazi,22
42,Emiliano Buendía Stati,107
43,Matthew Cash,147
44,Ezri Konsa Ngoyo,78
45,Frédéric Guilbert,0
46,Wesley Moraes,1
47,Mbwana Ally Samatta,0
48,Keinan Davis,1
49,Douglas Luiz Soares de Paulo,89
50,Jacob Ramsey,109
51,Ashley Young,50
52,Adam Lallana,44
53,Jason Steele,2
54,Pascal Groß,88
55,Shane Duffy,48
56,Davy Pröpper,0
57,Dan Burn,92
58,Lewis Dunk,92
59,Solomon March,61
60,Adam Webster,59
61,Joël Veltman,95
62,Neal Maupay,98
63,Leandro Trossard,141
64,Mathew Ryan,0
65,Alireza Jahanbakhsh,0
66,Ben White,107
67,Bernardo Fernandes Da Silva Junior,0
68,Robert Sánchez,126
69,Yves Bissouma,66
70,Tariq Lamptey,74
71,Aaron Connolly,5
72,Steven Alzate,13
73,Alexis Mac Allister,93
74,Jakub Moder,58
75,Pontus Jansson,122
76,Christian Nørgaard,101
77,Ivan Toney,139
78,Tariqe Fosu-Henry,1
79,David Raya Martin,95
80,Sergi Canós,81
81,Pelenda Joshua Dasilva,7
82,Rico Henry,108
83,Vitaly Janelt,90
84,Saman Ghoddos,30
85,Mathias Jensen,54
86,Charlie Goode,10
87,Marcus Forss,11
88,Mads Roerslev Rasmussen,41
89,Mads Bech Sørensen,22
90,Ethan Pinnock,90
91,Ellery Balcombe,0
92,Jan Zamburek,0
93,Patrik Gunnarsson,0
94,Halil Dervi?o?lu,0
95,Bryan Mbeumo,119
96,Mads Bidstrup,4
97,James Tarkowski,83
98,Phil Bardsley,0
99,Erik Pieters,37
100,Jack Cork,48
101,Dale Stephens,4
102,Kevin Long,7
103,Jay Rodriguez,60
104,Ashley Barnes,32
105,Ben Mee,74
106,Ashley Westwood,63
107,Johann Berg Gudmundsson,33
108,Chris Wood,91
109,Matthew Lowton,65
110,Matej Vydra,46
111,Nick Pope,130
112,Charlie Taylor,78
113,Will Norris,0
114,Josh Brownhill,92
115,Josh Benson,0
116,Bailey Peacock-Farrell,0
117,Dwight McNeil,84
118,César Azpilicueta,87
119,Olivier Giroud,0
120,Thiago Emiliano da Silva,130
121,Marcos Alonso,128
122,Jorge Luiz Frello Filho,106
123,Ross Barkley,14
124,Mateo Kovacic,76
125,Michy Batshuayi,0
126,Antonio Rüdiger,150
127,Kurt Zouma,66
128,Kepa Arrizabalaga,19
129,N’Golo Kanté,79
130,Hakim Ziyech,79
131,Ruben Loftus-Cheek,52
132,Andreas Christensen,69
133,Timo Werner,62
134,Benjamin Chilwell,55
135,Tammy Abraham,0
136,Christian Pulisic,77
137,Mason Mount,169
138,Ethan Ampadu,0
139,Callum Hudson-Odoi,49
140,Kai Havertz,112
141,Reece James,141
142,Edouard Mendy,130
143,Conor Gallagher,140
144,Billy Gilmour,49
145,Vicente Guaita,119
146,James Tomkins,17
147,James McArthur,54
148,Christian Benteke,58
149,Cheikhou Kouyaté,77
150,Martin Kelly,0
151,Luka Milivojevic,19
152,Jordan Ayew,77
153,Wilfried Zaha,150
154,Jeffrey Schlupp,86
155,Jack Butland,30
156,Jairo Riedewald,4
157,Jaros?aw Jach,0
158,Jean-Philippe Mateta,61
159,Eberechi Eze,31
160,Nathan Ferguson,1
161,Tyrick Mitchell,109
162,Fabian Delph,18
163,Gylfi Sigurdsson,0
164,Seamus Coleman,79
165,James Rodríguez,0
166,Bernard Anício Caldeira Duarte,0
167,Lucas Digne,83
168,Michael Keane,102
169,Jordan Pickford,116
170,Allan Marques Loureiro,58
171,André Filipe Tavares Gomes,18
172,Abdoulaye Doucouré,90
173,Alex Iwobi,78
174,Yerry Mina,24
175,Tom Davies,12
176,Dominic Calvert-Lewin,64
177,Mason Holgate,62
178,Ben Godfrey,45
179,Richarlison de Andrade,125
180,João Virgínia,0
181,Pablo Hernández Domínguez,0
182,Francisco Casilla Cortés,0
183,Liam Cooper,60
184,Luke Ayling,55
185,Mateusz Klich,61
186,Rodrigo Moreno,85
187,Stuart Dallas,80
188,Patrick Bamford,28
189,Diego Llorente,77
190,Kalvin Phillips,39
191,Hélder Wander Sousa de Azevedo e Costa,1
192,Tyler Roberts,34
193,Robin Koch,23
194,Ian Carlo Poveda-Ocampo,0
195,Raphael Dias Belloli,145
196,Jamie Shackleton,19
197,Pascal Struijk,35
198,Illan Meslier,106
199,Kasper Schmeichel,131
200,Jonny Evans,39
201,Marc Albrighton,40
202,Nampalys Mendy,24
203,Danny Ward,3
204,Jamie Vardy,133
205,Dennis Praet,0
