Player,Squad,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,league
Martial Godo,Fulham,"FW,DF",21,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,Premier-League
Kaelan Casey,West Ham,DF,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Harrison Armstrong,Everton,MF,17,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Premier-League
Florian Wirtz,Liverpool,"MF,FW",21,2003,31,25,2351,26.1,10,12,22,8,2,4,3,0,9.4,6.1,7.0,13.1,131,176,309,0.38,0.46,0.84,0.31,0.77,0.36,0.27,0.63,0.23,0.50,Bundesliga
Jeremie Frimpong,Liverpool,"DF,MF",23,2000,33,25,2314,25.7,5,5,10,5,0,0,4,0,4.1,4.1,4.2,8.3,100,55,272,0.19,0.19,0.39,0.19,0.39,0.16,0.16,0.32,0.16,0.32,Bundesliga
Carney Chukwuemeka,Chelsea,MF,20,2003,10,1,253,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.9,1.5,15,18,24,0.36,0.00,0.36,0.36,0.36,0.21,0.32,0.54,0.21,0.54,Bundesliga
Issa Kaboré,Manchester City,"DF,FW",23,2001,9,3,308,3.4,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.5,15,8,35,0.00,0.00,0.00,0.00,0.00,0.20,0.25,0.45,0.20,0.45,Bundesliga
Daniel James,Leeds United,FW,26,1997,36,30,2609,29.0,12,9,21,12,0,0,4,0,10.3,10.3,8.7,19.0,117,100,301,0.41,0.31,0.72,0.41,0.72,0.36,0.30,0.66,0.36,0.66,Championship
Patrick Bamford,Leeds United,FW,30,1993,17,0,252,2.8,0,0,0,0,0,0,0,0,2.2,2.2,0.2,2.3,3,7,18,0.00,0.00,0.00,0.00,0.00,0.79,0.06,0.84,0.79,0.84,Championship
Manor Solomon,Tottenham,FW,25,1999,39,30,2589,28.8,10,12,22,10,0,0,3,0,8.1,8.1,12.0,20.1,144,111,320,0.35,0.42,0.76,0.35,0.76,0.28,0.42,0.70,0.28,0.70,Championship
Pascal Struijk,Leeds United,DF,24,1999,35,31,2824,31.4,5,0,5,3,2,3,3,0,5.9,3.5,0.5,4.0,37,193,11,0.16,0.00,0.16,0.10,0.10,0.19,0.02,0.20,0.11,0.13,Championship
Lewis O'Brien,Nott'ham Forest,MF,25,1998,16,16,1419,15.8,1,0,1,1,0,0,2,0,1.3,1.3,1.1,2.3,29,58,45,0.06,0.00,0.06,0.06,0.06,0.08,0.07,0.15,0.08,0.15,Championship
Rob Holding,Crystal Palace,DF,28,1995,10,4,420,4.7,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,0,20,1,0.00,0.21,0.21,0.00,0.21,0.06,0.16,0.21,0.06,0.21,Championship
Brenden Aaronson,Leeds United,MF,23,2000,46,43,"3,551",39.5,9,2,11,9,0,0,1,0,11.3,11.3,5.7,17.0,84,160,243,0.23,0.05,0.28,0.23,0.28,0.29,0.14,0.43,0.29,0.43,Championship
Samuel Iling-Junior,Aston Villa,"DF,FW",20,2003,16,11,1057,11.7,1,2,3,1,0,0,2,0,0.5,0.5,2.3,2.8,47,47,76,0.09,0.17,0.26,0.09,0.26,0.04,0.20,0.24,0.04,0.24,Championship
Ethan Ampadu,Leeds United,"DF,MF",23,2000,29,26,2285,25.4,0,0,0,0,0,0,7,0,0.6,0.6,1.5,2.0,26,106,9,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Championship
Joe Rodon,Leeds United,DF,26,1997,46,46,4135,45.9,1,0,1,1,0,0,5,0,1.2,1.2,1.1,2.4,56,291,5,0.02,0.00,0.02,0.02,0.02,0.03,0.02,0.05,0.03,0.05,Championship
Josh Cullen,Burnley,MF,28,1996,44,43,3801,42.2,2,3,5,2,0,0,11,0,1.7,1.7,2.6,4.3,23,218,53,0.05,0.07,0.12,0.05,0.12,0.04,0.06,0.10,0.04,0.10,Championship
Emmanuel Dennis,Nott'ham Forest,"FW,MF",26,1997,6,1,160,1.8,0,1,1,0,0,0,3,1,0.1,0.1,0.5,0.6,8,11,16,0.00,0.56,0.56,0.00,0.56,0.07,0.30,0.37,0.07,0.37,Championship
Chris Mepham,Bournemouth,DF,26,1997,38,37,3273,36.4,1,0,1,1,0,0,10,1,1.7,1.7,0.6,2.3,41,145,5,0.03,0.00,0.03,0.03,0.03,0.05,0.02,0.06,0.05,0.06,Championship
Maximilian Wöber,Leeds United,DF,26,1998,8,2,335,3.7,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,6,17,34,0.27,0.00,0.27,0.27,0.27,0.18,0.09,0.27,0.18,0.27,Championship
Bashir Humphreys,Burnley,DF,21,2003,25,20,1777,19.7,1,2,3,1,0,0,3,1,0.6,0.6,0.8,1.4,36,87,55,0.05,0.10,0.15,0.05,0.15,0.03,0.04,0.07,0.03,0.07,Championship
Jaidon Anthony,Burnley,"FW,MF",24,1999,43,42,3661,40.7,8,7,15,8,0,0,4,0,9.4,9.4,8.0,17.3,184,159,375,0.20,0.17,0.37,0.20,0.37,0.23,0.20,0.43,0.23,0.43,Championship
Joe Worrall,Burnley,DF,27,1997,9,3,285,3.2,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,0,15,1,0.00,0.32,0.32,0.00,0.32,0.09,0.08,0.16,0.09,0.16,Championship
Lyle Foster,Burnley,FW,23,2000,28,17,1590,17.7,2,5,7,2,0,0,4,0,4.4,4.4,2.7,7.1,41,37,103,0.11,0.28,0.40,0.11,0.40,0.25,0.15,0.40,0.25,0.40,Championship
Illan Meslier,Leeds United,GK,24,2000,39,39,3510,39.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Jayden Bogle,Leeds United,DF,24,2000,44,44,3824,42.5,6,4,10,6,0,0,12,0,5.3,5.3,6.9,12.3,123,193,264,0.14,0.09,0.24,0.14,0.24,0.13,0.16,0.29,0.13,0.29,Championship
Karl Darlow,Leeds United,GK,33,1990,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Sam Greenwood,Leeds United,"FW,MF",22,2002,38,29,2427,27.0,5,3,8,3,2,2,9,2,6.2,4.6,6.1,10.8,62,62,152,0.19,0.11,0.30,0.11,0.22,0.23,0.23,0.46,0.17,0.40,Championship
Wilfried Gnonto,Leeds United,FW,20,2003,43,26,2276,25.3,9,6,15,9,0,0,5,0,8.3,8.3,5.7,13.9,83,124,240,0.36,0.24,0.59,0.36,0.59,0.33,0.22,0.55,0.33,0.55,Championship
Connor Roberts,Burnley,DF,28,1995,41,40,3636,40.4,2,3,5,2,0,0,4,0,2.5,2.5,2.4,4.9,49,238,98,0.05,0.07,0.12,0.05,0.12,0.06,0.06,0.12,0.06,0.12,Championship
Marcus Edwards,Burnley,"FW,MF",25,1998,14,12,936,10.4,1,1,2,1,0,0,1,0,1.7,1.7,2.2,3.8,49,50,108,0.10,0.10,0.19,0.10,0.19,0.16,0.21,0.37,0.16,0.37,Championship
Zeki Amdouni,Burnley,MF,23,2000,2,0,35,0.4,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,2.57,0.00,2.57,2.57,2.57,0.09,0.00,0.09,0.09,0.09,Championship
Ao Tanaka,Leeds United,MF,25,1998,43,37,3314,36.8,5,2,7,5,0,0,8,0,3.6,3.6,2.6,6.2,38,259,43,0.14,0.05,0.19,0.14,0.19,0.10,0.07,0.17,0.10,0.17,Championship
Lewis Dobbin,Aston Villa,FW,21,2003,10,8,640,7.1,2,0,2,2,0,0,1,0,1.1,1.1,0.6,1.7,20,12,58,0.28,0.00,0.28,0.28,0.28,0.16,0.08,0.24,0.16,0.24,Championship
Lewis Dobbin,Aston Villa,"FW,MF",21,2003,17,1,340,3.8,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,12,10,25,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08,Championship
Daniel Ballard,Sunderland,DF,24,1999,20,12,1127,12.5,2,1,3,2,0,0,3,0,1.4,1.4,0.3,1.7,8,51,5,0.16,0.08,0.24,0.16,0.24,0.11,0.03,0.13,0.11,0.13,Championship
Aaron Ramsey,Burnley,MF,33,1990,8,6,557,6.2,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.1,9,36,25,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17,Championship
Aaron Ramsey,Burnley,MF,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Benson Manuel,Burnley,"MF,FW",27,1997,3,0,46,0.5,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,5,4,11,1.96,0.00,1.96,1.96,1.96,0.20,0.00,0.20,0.20,0.20,Championship
James Trafford,Burnley,GK,21,2002,45,45,4050,45.0,0,0,0,0,0,0,7,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Isaac Hayden,Newcastle Utd,MF,29,1995,17,12,936,10.4,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,2,22,19,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Championship
Ashley Phillips,Tottenham,DF,19,2005,35,35,3077,34.2,0,0,0,0,0,0,6,0,1.0,1.0,0.6,1.6,7,40,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Championship
Joe Rothwell,Bournemouth,MF,29,1995,36,24,2249,25.0,0,4,4,0,0,0,2,0,0.6,0.6,4.6,5.3,41,166,30,0.00,0.16,0.16,0.00,0.16,0.03,0.18,0.21,0.03,0.21,Championship
Sam Byram,Leeds United,DF,30,1993,36,16,1409,15.7,1,1,2,1,0,0,4,0,0.8,0.8,1.0,1.9,25,75,100,0.06,0.06,0.13,0.06,0.13,0.05,0.07,0.12,0.05,0.12,Championship
Ashley Barnes,Burnley,"FW,MF",34,1989,8,1,173,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,8,6,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Championship
Ashley Barnes,Burnley,"FW,MF",34,1989,13,1,134,1.5,1,1,2,1,0,0,1,0,0.9,0.9,0.3,1.2,1,3,5,0.67,0.67,1.34,0.67,1.34,0.61,0.23,0.84,0.61,0.84,Championship
Luca Koleosho,Burnley,"FW,MF",19,2004,28,20,1677,18.6,2,0,2,2,0,0,4,0,1.9,1.9,2.4,4.3,84,66,185,0.11,0.00,0.11,0.11,0.11,0.10,0.13,0.23,0.10,0.23,Championship
Josh Bowler,Nott'ham Forest,"FW,DF",25,1999,10,6,456,5.1,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,12,22,39,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.22,0.14,0.22,Championship
Josh Bowler,Nott'ham Forest,"MF,FW",25,1999,8,0,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,8,9,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Championship
Largie Ramazani,Leeds United,FW,23,2001,29,7,797,8.9,6,2,8,6,0,0,2,0,4.7,4.7,1.4,6.1,41,38,81,0.68,0.23,0.90,0.68,0.90,0.53,0.16,0.69,0.53,0.69,Championship
Ilia Gruev,Leeds United,MF,24,2000,23,20,1699,18.9,0,2,2,0,0,0,3,0,1.3,1.3,2.4,3.8,17,102,22,0.00,0.11,0.11,0.00,0.11,0.07,0.13,0.20,0.07,0.20,Championship
Joe Gelhardt,Leeds United,"FW,MF",22,2002,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Joe Gelhardt,Leeds United,"FW,MF",22,2002,20,19,1593,17.7,5,0,5,3,2,2,4,0,5.5,3.9,2.2,6.1,51,46,80,0.28,0.00,0.28,0.17,0.17,0.31,0.12,0.43,0.22,0.34,Championship
Joël Piroe,Leeds United,FW,24,1999,46,36,3080,34.2,19,7,26,18,1,1,2,0,16.9,16.2,4.5,20.6,30,89,166,0.56,0.20,0.76,0.53,0.73,0.49,0.13,0.63,0.47,0.60,Championship
Mateo Joseph,Leeds United,FW,20,2003,39,11,1285,14.3,3,3,6,3,0,0,0,0,5.1,5.1,1.9,7.0,20,24,66,0.21,0.21,0.42,0.21,0.42,0.36,0.13,0.49,0.36,0.49,Championship
Ben Doak,Liverpool,FW,18,2005,24,21,1778,19.8,3,7,10,3,0,0,7,0,4.4,4.4,4.6,9.0,134,56,250,0.15,0.35,0.51,0.15,0.51,0.22,0.23,0.45,0.22,0.45,Championship
Alan Browne,Sunderland,"MF,DF",29,1995,22,13,1212,13.5,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.8,16,29,52,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.13,0.11,0.13,Championship
Wilson Isidor,Sunderland,FW,23,2000,43,34,3112,34.6,12,2,14,12,0,2,9,0,15.2,13.7,3.8,17.4,35,23,128,0.35,0.06,0.40,0.35,0.40,0.44,0.11,0.55,0.39,0.50,Championship
Han-Noah Massengo,Burnley,MF,23,2001,8,1,97,1.1,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,0,2,2,0.00,0.93,0.93,0.00,0.93,0.22,0.08,0.30,0.22,0.30,Championship
Hannes Delcroix,Burnley,DF,25,1999,12,10,888,9.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,40,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Championship
Josh Laurent,Burnley,MF,29,1995,3,3,270,3.0,0,0,0,0,0,0,3,0,0.0,0.0,0.8,0.8,4,16,4,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26,Championship
Josh Laurent,Burnley,MF,29,1995,42,25,2451,27.2,2,2,4,2,0,0,4,0,3.1,3.1,3.2,6.3,38,109,89,0.07,0.07,0.15,0.07,0.15,0.12,0.12,0.23,0.12,0.23,Championship
Maxime Estève,Burnley,DF,22,2002,46,46,4055,45.1,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.0,19,140,2,0.02,0.00,0.02,0.02,0.02,0.02,0.00,0.02,0.02,0.02,Championship
Michael Obafemi,Burnley,"FW,MF",24,2000,29,14,1196,13.3,2,0,2,2,0,0,0,0,2.0,2.0,1.1,3.0,14,13,67,0.15,0.00,0.15,0.15,0.15,0.15,0.08,0.23,0.15,0.23,Championship
Zian Flemming,Burnley,FW,25,1998,35,28,2424,26.9,12,4,16,12,0,0,3,0,9.1,9.1,3.6,12.7,19,38,90,0.45,0.15,0.59,0.45,0.59,0.34,0.13,0.47,0.34,0.47,Championship
Andrew Moran,Brighton,"MF,FW",20,2003,35,26,2357,26.2,4,3,7,4,0,0,9,0,2.3,2.3,3.3,5.7,49,110,89,0.15,0.11,0.27,0.15,0.27,0.09,0.13,0.22,0.09,0.22,Championship
Patrick Roberts,Sunderland,"FW,MF",27,1997,45,38,3280,36.4,2,7,9,1,1,2,8,0,5.7,4.2,5.3,9.4,125,178,272,0.05,0.19,0.25,0.03,0.22,0.16,0.14,0.30,0.11,0.26,Championship
Caleb Wiley,Chelsea,"DF,MF",19,2004,10,8,722,8.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.7,20,25,40,0.00,0.12,0.12,0.00,0.12,0.02,0.07,0.08,0.02,0.08,Championship
Malcolm Ebiowei,Crystal Palace,MF,20,2003,4,0,68,0.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,5,7,0.00,0.00,0.00,0.00,0.00,0.36,0.18,0.54,0.36,0.54,Championship
Isaac Schmidt,Leeds United,"FW,DF",24,1999,12,0,78,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4,6,14,0.00,0.00,0.00,0.00,0.00,0.20,0.37,0.58,0.20,0.58,Championship
Anthony Patterson,Sunderland,GK,24,2000,42,42,3780,42.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Dennis Cirkin,Sunderland,DF,22,2002,36,30,2740,30.4,3,2,5,3,0,0,6,0,2.0,2.0,2.1,4.0,73,127,135,0.10,0.07,0.16,0.10,0.16,0.07,0.07,0.13,0.07,0.13,Championship
Václav Hladký,Burnley,GK,33,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Harrison Ashby,Newcastle Utd,"DF,FW",22,2001,29,17,1583,17.6,0,1,1,0,0,0,6,0,1.4,1.4,1.1,2.5,19,38,45,0.00,0.06,0.06,0.00,0.06,0.08,0.06,0.14,0.08,0.14,Championship
Alfie Gilchrist,Chelsea,DF,20,2003,30,27,2103,23.4,0,2,2,0,0,0,5,0,0.4,0.4,1.4,1.7,32,120,57,0.00,0.09,0.09,0.00,0.09,0.02,0.06,0.07,0.02,0.07,Championship
Ian Poveda,Sunderland,"FW,MF",24,2000,6,0,86,1.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,5,4,15,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.23,0.06,0.23,Championship
Andreas Hountondji,Burnley,"FW,MF",22,2002,9,2,209,2.3,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,3,2,10,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,Championship
Oliver Sonne,Burnley,DF,23,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.62,0.00,0.62,Championship
Luke O'Nien,Sunderland,DF,29,1994,45,44,3934,43.7,3,1,4,3,0,1,9,0,3.3,2.5,1.0,3.5,45,229,26,0.07,0.02,0.09,0.07,0.09,0.08,0.02,0.10,0.06,0.08,Championship
Adil Aouchiche,Sunderland,"MF,FW",22,2002,12,9,683,7.6,1,1,2,1,0,0,2,0,1.2,1.2,0.4,1.6,14,18,41,0.13,0.13,0.26,0.13,0.26,0.16,0.05,0.21,0.16,0.21,Championship
Adil Aouchiche,Sunderland,"FW,MF",22,2002,8,3,296,3.3,0,1,1,0,0,0,0,0,0.5,0.5,1.6,2.1,13,14,56,0.00,0.30,0.30,0.00,0.30,0.15,0.48,0.63,0.15,0.63,Championship
Simon Moore,Sunderland,GK,34,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Josh Wilson-Esbrand,Manchester City,"DF,FW",21,2002,6,4,269,3.0,0,1,1,0,0,0,0,0,0.6,0.6,0.3,0.9,6,9,13,0.00,0.33,0.33,0.00,0.33,0.19,0.10,0.29,0.19,0.29,Championship
Eliezer Mayenda,Sunderland,"FW,MF",19,2005,37,22,2155,23.9,8,5,13,8,0,0,2,0,9.7,9.7,3.8,13.5,82,32,157,0.33,0.21,0.54,0.33,0.54,0.41,0.16,0.56,0.41,0.56,Championship
Ajibola Alese,Sunderland,DF,23,2001,12,8,703,7.8,0,0,0,0,0,0,2,0,0.5,0.5,0.5,1.0,3,29,19,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Championship
Shurandy Sambo,Burnley,MF,22,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Darko Gyabi,Leeds United,MF,20,2004,43,34,2841,31.6,1,2,3,1,0,0,10,0,3.0,3.0,1.4,4.4,56,113,46,0.03,0.06,0.10,0.03,0.10,0.10,0.04,0.14,0.10,0.14,Championship
Leo Fuhr Hjelde,Sunderland,DF,20,2003,15,5,410,4.6,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,3,22,16,0.00,0.22,0.22,0.00,0.22,0.00,0.03,0.03,0.00,0.03,Championship
Romaine Mundle,Sunderland,"FW,MF",21,2003,22,17,1433,15.9,5,2,7,5,0,0,1,0,2.2,2.2,1.4,3.7,100,44,179,0.31,0.13,0.44,0.31,0.44,0.14,0.09,0.23,0.14,0.23,Championship
Myles Peart-Harris,Brentford,"FW,MF",21,2002,29,18,1665,18.5,3,4,7,3,0,0,6,0,3.1,3.1,2.4,5.5,47,42,135,0.16,0.22,0.38,0.16,0.38,0.17,0.13,0.30,0.17,0.30,Championship
Carl Rushworth,Brighton,GK,23,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
James Beadle,Brighton,GK,20,2004,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Enock Agyei,Burnley,"FW,MF",19,2005,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,5,12,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16,Championship
Jenson Seelt,Sunderland,DF,21,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Joe Anderson,Sunderland,DF,23,2001,2,1,99,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Nectarios Triantis,Sunderland,FW,21,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Championship
Trai Hume,Sunderland,DF,22,2002,44,43,3810,42.3,3,6,9,3,0,0,11,1,2.0,2.0,7.2,9.3,63,217,139,0.07,0.14,0.21,0.07,0.21,0.05,0.17,0.22,0.05,0.22,Championship
David Ozoh,Crystal Palace,MF,19,2005,10,9,699,7.8,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,8,22,5,0.13,0.00,0.13,0.13,0.13,0.04,0.00,0.04,0.04,0.04,Championship
Tawanda Chirewa,Wolves,MF,20,2003,5,1,151,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Championship
Chris Rigg,Sunderland,"MF,FW",17,2007,42,36,3055,33.9,4,1,5,4,0,0,8,0,5.8,5.8,3.0,8.8,48,127,179,0.12,0.03,0.15,0.12,0.15,0.17,0.09,0.26,0.17,0.26,Championship
Dan Neil,Sunderland,MF,22,2001,44,44,3877,43.1,2,3,5,2,0,0,4,1,0.8,0.8,2.1,3.0,49,253,51,0.05,0.07,0.12,0.05,0.12,0.02,0.05,0.07,0.02,0.07,Championship
Charlie Crew,Leeds United,MF,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,Championship
Ibrahim Osman,Brighton,"FW,MF",19,2004,22,6,790,8.8,3,3,6,3,0,0,2,0,2.0,2.0,1.6,3.6,45,20,106,0.34,0.34,0.68,0.34,0.68,0.23,0.19,0.41,0.23,0.41,Eredivisie
Hjalmar Ekdal,Burnley,DF,25,1998,14,14,1240,13.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,11,38,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Eredivisie
Hugo Bueno,Wolves,DF,21,2002,20,14,1197,13.3,0,3,3,0,0,0,1,0,0.5,0.5,2.5,3.0,61,48,79,0.00,0.23,0.23,0.00,0.23,0.03,0.19,0.22,0.03,0.22,Eredivisie
Giorgi Mamardashvili,Liverpool,GK,23,2000,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,La-Liga
Fábio Silva,Wolves,FW,22,2002,24,22,1866,20.7,10,3,13,8,2,3,7,0,8.8,6.4,2.0,8.4,30,26,119,0.48,0.14,0.63,0.39,0.53,0.42,0.10,0.52,0.31,0.41,La-Liga
Martín Zubimendi,Arsenal,MF,25,1999,36,33,2962,32.9,2,1,3,2,0,0,6,0,2.6,2.6,1.1,3.7,38,195,43,0.06,0.03,0.09,0.06,0.09,0.08,0.03,0.11,0.08,0.11,La-Liga
Albert Sambi Lokonga,Arsenal,MF,24,1999,22,16,1471,16.3,0,2,2,0,0,0,4,0,0.9,0.9,1.0,1.9,24,93,20,0.00,0.12,0.12,0.00,0.12,0.06,0.06,0.12,0.06,0.12,La-Liga
Nayef Aguerd,West Ham,DF,28,1996,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,75,1,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,La-Liga
Bryan Gil,Tottenham,"FW,MF",23,2001,25,21,1721,19.1,3,3,6,3,0,0,4,0,2.3,2.3,2.9,5.2,76,74,210,0.16,0.16,0.31,0.16,0.31,0.12,0.15,0.27,0.12,0.27,La-Liga
Stefan Bajcetic,Liverpool,"MF,DF",19,2004,14,12,969,10.8,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,8,39,9,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,La-Liga
Valentín Barco,Brighton,"DF,FW",20,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,4,13,13,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.28,0.09,0.28,La-Liga
Karl Jakob Hein,Arsenal,GK,22,2002,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,La-Liga
Hamed Junior Traorè,Bournemouth,MF,24,2000,26,26,2093,23.3,10,2,12,10,0,0,5,0,7.9,7.9,2.7,10.6,66,99,146,0.43,0.09,0.52,0.43,0.52,0.34,0.12,0.46,0.34,0.46,Ligue-1
Ki-Jana Hoever,Wolves,DF,22,2002,30,26,2124,23.6,1,2,3,1,0,0,4,1,0.5,0.5,2.7,3.2,59,79,128,0.04,0.08,0.13,0.04,0.13,0.02,0.11,0.13,0.02,0.13,Ligue-1
