Player,Squad,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,league
Bart Verbruggen,Brighton,GK,21,2002,36,36,3240,36.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Premier-League
Jake O'Brien,Everton,DF,23,2001,20,17,1571,17.5,2,0,2,2,0,0,5,0,0.8,0.8,0.6,1.3,7,50,25,0.11,0.00,0.11,0.11,0.11,0.04,0.03,0.08,0.04,0.08,Premier-League
Matz Sels,Nott'ham Forest,GK,32,1992,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Premier-League
Morato,Nott'ham Forest,DF,23,2001,26,6,907,10.1,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,1,19,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Premier-League
Nicolás Domínguez,Nott'ham Forest,"MF,FW",26,1998,34,23,1963,21.8,0,1,1,0,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0.00,0.05,0.05,0.00,0.05,0.07,0.06,0.13,0.07,0.13,Premier-League
Harry Wilson,Fulham,"FW,MF",27,1997,25,12,1162,12.9,6,1,7,6,0,0,2,0,4.2,4.2,1.1,5.3,22,51,96,0.46,0.08,0.54,0.46,0.54,0.33,0.09,0.41,0.33,0.41,Premier-League
Chadi Riad,Crystal Palace,DF,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Crysencio Summerville,West Ham,"FW,MF",22,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Premier-League
Jarell Quansah,Liverpool,DF,21,2003,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Premier-League
Santiago Bueno,Wolves,DF,25,1998,29,18,1687,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Premier-League
Ethan Pinnock,Brentford,DF,31,1993,22,21,1913,21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Premier-League
Nathan Collins,Brentford,DF,23,2001,38,38,3420,38.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,32,127,18,0.05,0.08,0.13,0.05,0.13,0.07,0.05,0.11,0.07,0.11,Premier-League
Vitaly Janelt,Brentford,MF,26,1998,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Premier-League
James Garner,Everton,"MF,DF",23,2001,21,17,1594,17.7,0,1,1,0,0,0,5,0,0.7,0.7,1.4,2.1,15,50,30,0.00,0.06,0.06,0.00,0.06,0.04,0.08,0.12,0.04,0.12,Premier-League
Youssef Chermiti,Everton,"FW,MF",20,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Premier-League
Danilo,Nott'ham Forest,"MF,FW",23,2001,8,5,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Premier-League
Ramón Sosa,Nott'ham Forest,"FW,MF",24,1999,19,1,295,3.3,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.5,12,6,17,0.31,0.00,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45,Premier-League
